AT,GO,contig,O_sativa_locus_annotation,ProbeName,TargetID,Sig Index PrF_T3_Oil,Sig Index PrF_T3_State,Sum Sig Index for F-Tests,Avg Sig Index for F-Tests
AT3G58730,GO:0015991/GO:0015991/GO:0005774/GO:0000325/GO:0005774/GO:0042626/GO:0005774/GO:0006007/GO:0005774/GO:0007033/GO:0006816/GO:0005886/GO:0009651/GO:0006623/GO:0007030/GO:0006623/GO:0009651/GO:0046961/GO:0046961/GO:0007033/GO:0005773/GO:0007030/GO:0005774/GO:0005773/GO:0005794/GO:0005773/GO:0005774/GO:0042626/GO:0000325/GO:0005773/GO:0016020,S_alt_contig03847_RC,LOC_Os04g55040,CUST_10083_PI428634872,S_alt_contig03847_RC,1,0,1,0.5
NA,,S_alt_contig03850_NB,,CUST_10085_PI428634872,S_alt_contig03850_NB,1,0,1,0.5
AT2G04400,GO:0009507/GO:0005829/GO:0009570/GO:0000162/GO:0009570/GO:0000162/GO:0042742/GO:0006568/GO:0004425/GO:0009507/GO:0009684/GO:0009570/GO:0034976/GO:0003824/GO:0006568/GO:0005507/GO:0004425/GO:0009627/GO:0042742/GO:0006569/GO:0008152/GO:0009627/GO:0034976/GO:0009684/GO:0009570/GO:0006569,S_alt_contig03852,LOC_Os08g23150,CUST_10086_PI428634872,S_alt_contig03852,1,0,1,0.5
NA,,S_alt_contig03862_RC,LOC_Os03g17410,CUST_10093_PI428634872,S_alt_contig03862_RC,1,0,1,0.5
AT1G80570,GO:0006511/GO:0006511/GO:0006511/GO:0006511/GO:0005634/GO:0004842/GO:0006511/GO:0006511/GO:0005634/GO:0005634,S_alt_contig03866,LOC_Os12g33210,CUST_10095_PI428634872,S_alt_contig03866,1,1,2,1
NA,,S_alt_contig03867_NB,,CUST_10096_PI428634872,S_alt_contig03867_NB,1,0,1,0.5
AT4G23160,GO:0004672/GO:0004674/GO:0016772/GO:0005524/GO:0004672/GO:0005524/GO:0006468/GO:0004713/GO:0006468/GO:0004674/GO:0016301/GO:0006468/GO:0004713,S_5sp_contig21350_RC,LOC_Os09g04550,CUST_1010_PI428634872,S_5sp_contig21350_RC,1,0,1,0.5
AT2G20810,GO:0005794/GO:0016051/GO:0005794/GO:0005768/GO:0016757/GO:0005794/GO:0016757/GO:0016757/GO:0005802/GO:0047262/GO:0005768/GO:0016758,S_alt_contig03890_RC,LOC_Os04g54360,CUST_10110_PI428634872,S_alt_contig03890_RC,1,0,1,0.5
AT3G20390,GO:0005773/GO:0009941/GO:0004521/GO:0009651/GO:0005773/GO:0009570/GO:0009941/GO:0006096/GO:0009507/GO:0009941/GO:0009579/GO:0009570/GO:0006096/GO:0009536/GO:0046686/GO:0009570/GO:0019761/GO:0009507/GO:0009651/GO:0009536/GO:0006094/GO:0009570/GO:0019761/GO:0009941/GO:0005739/GO:0009507/GO:0046686,S_alt_contig03891,LOC_Os07g33240,CUST_10111_PI428634872,S_alt_contig03891,1,0,1,0.5
AT1G32790,GO:0046482/GO:0005737/GO:0003676/GO:0000166/GO:0008150/GO:0000166/GO:0046482/GO:0003676/GO:0003723,S_alt_contig03898,LOC_Os08g02330,CUST_10116_PI428634872,S_alt_contig03898,1,1,2,1
AT4G23160,GO:0004672/GO:0004674/GO:0016772/GO:0005524/GO:0004672/GO:0005524/GO:0006468/GO:0004713/GO:0006468/GO:0004674/GO:0016301/GO:0006468/GO:0004713,S_5sp_contig21353_RC,LOC_Os05g12360,CUST_1011_PI428634872,S_5sp_contig21353_RC,1,0,1,0.5
AT3G10620,GO:0008893/GO:0009507/GO:0019243/GO:0004081/GO:0006753/GO:0006753/GO:0019243/GO:0009507/GO:0034432,S_alt_contig03906,LOC_Os04g58900,CUST_10123_PI428634872,S_alt_contig03906,1,0,1,0.5
AT3G07550,GO:0005634/GO:0006511/GO:0006511/GO:0006511/GO:0006511/GO:0006511/GO:0005634/GO:0006511/GO:0004842,S_alt_contig03914,LOC_Os11g16280,CUST_10129_PI428634872,S_alt_contig03914,1,0,1,0.5
AT3G46020,GO:0000166/GO:0008150/GO:0003723/GO:0005575/GO:0003676,S_alt_contig03919,LOC_Os01g31810,CUST_10132_PI428634872,S_alt_contig03919,1,0,1,0.5
AT4G00630,GO:0009941/GO:0009941/GO:0016020/GO:0009941/GO:0015992/GO:0016021/GO:0009941/GO:0009941/GO:0015386/GO:0009507/GO:0009941/GO:0006813/GO:0015386/GO:0015079/GO:0016021/GO:0009941/GO:0009536/GO:0009941,S_alt_contig03920,LOC_Os04g58620,CUST_10133_PI428634872,S_alt_contig03920,1,0,1,0.5
AT5G06510,GO:0003700/GO:0003700/GO:0005634/GO:0006355/GO:0006355/GO:0016602/GO:0006355/GO:0003677/GO:0006355/GO:0005634/GO:0003700/GO:0005634/GO:0006355/GO:0016602/GO:0006355/GO:0016602/GO:0003700/GO:0003677/GO:0006355/GO:0005634/GO:0006355/GO:0016602/GO:0009718/GO:0003700/GO:0006355/GO:0009718/GO:0016602/GO:0005634/GO:0003677/GO:0006355/GO:0016602/GO:0016602/GO:0006355/GO:0006355/GO:0005634/GO:0016602,S_alt_contig03921,LOC_Os12g42400,CUST_10134_PI428634872,S_alt_contig03921,1,0,1,0.5
AT1G80300,GO:0009941/GO:0009941/GO:0009536/GO:0009941/GO:0005524/GO:0005471/GO:0009941/GO:0005471/GO:0009941/GO:0016021/GO:0005471/GO:0009941/GO:0009941/GO:0016020/GO:0005524/GO:0009507/GO:0009941,S_alt_contig03928,LOC_Os01g45910,CUST_10139_PI428634872,S_alt_contig03928,1,1,2,1
AT5G13020,GO:0008284/GO:0010413/GO:0045492/GO:0008150/GO:0045492/GO:0010413/GO:0005634/GO:0003674,S_5sp_contig21391_RC,LOC_Os09g10710,CUST_1014_PI428634872,S_5sp_contig21391_RC,1,0,1,0.5
AT5G56360,GO:0030244/GO:0000394/GO:0048193/GO:0005516/GO:0009086/GO:0042742/GO:0042742/GO:0009507/GO:0005783/GO:0048193/GO:0030244/GO:0000394/GO:0005516/GO:0009086,S_alt_contig03939,LOC_Os01g16970,CUST_10150_PI428634872,S_alt_contig03939,1,0,1,0.5
AT5G65180,GO:0045132/GO:0033044/GO:0003674/GO:0007062/GO:0043247/GO:0032204/GO:0005634/GO:0043247/GO:0032204/GO:0033044/GO:0043247/GO:0043247/GO:0007129/GO:0008150/GO:0042138/GO:0042138/GO:0007062/GO:0010332/GO:0031048/GO:0032204/GO:0007131/GO:0007129/GO:0032504/GO:0032204/GO:0031048/GO:0007131/GO:0007059/GO:0031048/GO:0005634,S_alt_contig03947,LOC_Os04g54420,CUST_10157_PI428634872,S_alt_contig03947,1,0,1,0.5
AT3G28730,GO:0048519/GO:0031047/GO:0006346/GO:0005719/GO:0005634/GO:0031047/GO:0009616/GO:0000394/GO:0000394/GO:0006342/GO:0010267/GO:0006366/GO:0035196/GO:0009887/GO:0003677/GO:0010073/GO:0010050/GO:0009616/GO:0005719/GO:0007267/GO:0006306/GO:0010051/GO:0006342/GO:0006346/GO:0010228/GO:0010267/GO:0016569/GO:0016246/GO:0048439/GO:0016569/GO:0003700/GO:0005634/GO:0006306/GO:0006342/GO:0010014/GO:0006306/GO:0016246/GO:0006346/GO:0035101/GO:0005634/GO:0035101/GO:0035196/GO:0009855/GO:0006346,S_alt_contig03952,LOC_Os01g08970,CUST_10161_PI428634872,S_alt_contig03952,1,0,1,0.5
NA,,S_alt_contig03957_RC,LOC_Os01g72630,CUST_10166_PI428634872,S_alt_contig03957_RC,1,0,1,0.5
AT5G11710,GO:0005515/GO:0005884/GO:0005737/GO:0006623/GO:0005794/GO:0005515/GO:0002020/GO:0030276/GO:0006886/GO:0006886/GO:0005515/GO:0005515/GO:0006623/GO:0009579,S_alt_contig03960,LOC_Os04g51120,CUST_10168_PI428634872,S_alt_contig03960,1,1,2,1
AT3G48140,GO:0003674/GO:0010150/GO:0005777/GO:0005739/GO:0005777,S_alt_contig03961,LOC_Os06g13680,CUST_10169_PI428634872,S_alt_contig03961,1,0,1,0.5
AT4G39090,GO:0009651/GO:0009414/GO:0004197/GO:0009651/GO:0006970/GO:0006833/GO:0006096/GO:0009651/GO:0005576/GO:0046686/GO:0009266/GO:0006508/GO:0009651/GO:0006972/GO:0005773/GO:0005773/GO:0042742/GO:0009269/GO:0005634/GO:0008234/GO:0006972/GO:0009269/GO:0006096/GO:0042742/GO:0006970/GO:0008234/GO:0007030/GO:0007030/GO:0009414/GO:0006508,S_alt_contig03963,LOC_Os02g27030,CUST_10171_PI428634872,S_alt_contig03963,1,0,1,0.5
NA,,S_alt_contig03969_NB,,CUST_10176_PI428634872,S_alt_contig03969_NB,1,0,1,0.5
AT1G71410,GO:0005737/GO:0006468/GO:0006468/GO:0006468/GO:0016772/GO:0016301/GO:0005524/GO:0004672/GO:0016020/GO:0004672/GO:0005524,S_alt_contig03981_RC,LOC_Os01g42950,CUST_10186_PI428634872,S_alt_contig03981_RC,1,1,2,1
NA,,S_alt_contig03982_NB,,CUST_10187_PI428634872,S_alt_contig03982_NB,1,1,2,1
AT5G64930,GO:0009644/GO:0003674/GO:0010182/GO:0009507/GO:0009627/GO:0010090/GO:0009868/GO:0010090/GO:0009868/GO:0009627/GO:0005634/GO:0048573/GO:0005634/GO:0009868/GO:0009627/GO:0048573/GO:0048573/GO:0009627/GO:0009868/GO:0009627/GO:0016020/GO:0048573/GO:0042542/GO:0009626/GO:0006952/GO:0010090/GO:0010182/GO:0010150/GO:0051707/GO:0009627/GO:0009626,S_5sp_contig21496_RC,LOC_Os02g53070,CUST_1018_PI428634872,S_5sp_contig21496_RC,1,1,2,1
AT5G08520,GO:0005634/GO:0006355/GO:0003677/GO:0006355/GO:0003700/GO:0003700/GO:0006355/GO:0003677,S_alt_contig03993,LOC_Os04g58020,CUST_10195_PI428634872,S_alt_contig03993,1,0,1,0.5
NA,,S_alt_contig03995_NB,,CUST_10197_PI428634872,S_alt_contig03995_NB,1,0,1,0.5
AT5G61960,GO:0003676/GO:0045836/GO:0003723/GO:0000166/GO:0005634/GO:0005515/GO:0005634/GO:0000166/GO:0048507/GO:0003676,S_5sp_contig05305,LOC_Os02g31290,CUST_101_PI428634872,S_5sp_contig05305,1,0,1,0.5
AT3G47680,GO:0003677/GO:0008150/GO:0009507,S_alt_contig04009_RC,LOC_Os10g31120,CUST_10208_PI428634872,S_alt_contig04009_RC,1,1,2,1
AT5G64740,GO:0043622/GO:0005886/GO:0016759/GO:0071555/GO:0030243/GO:0030243/GO:0010005/GO:0043622/GO:0008270/GO:0009833/GO:0010817/GO:0005886/GO:0030244/GO:0009832/GO:0030244/GO:0016020/GO:0016049/GO:0005794/GO:0010583/GO:0042546/GO:0009832/GO:0005886/GO:0043481/GO:0009664/GO:0048767/GO:0030244/GO:0005886/GO:0010330/GO:0010005/GO:0009664/GO:0016049/GO:0030244/GO:0071555/GO:0009932/GO:0016760/GO:0016757/GO:0048767/GO:0000271/GO:0016020/GO:0009825/GO:0009932,S_alt_contig04013,LOC_Os07g14850,CUST_10211_PI428634872,S_alt_contig04013,1,1,2,1
AT3G12480,GO:0003677/GO:0006355/GO:0005634/GO:0005634/GO:0006355/GO:0003677/GO:0006355/GO:0043565/GO:0005829/GO:0003700/GO:0005622,S_alt_contig04016,LOC_Os11g34200,CUST_10214_PI428634872,S_alt_contig04016,1,0,1,0.5
NA,,S_alt_contig04023_NB,,CUST_10219_PI428634872,S_alt_contig04023_NB,1,0,1,0.5
AT1G67300,GO:0055085/GO:0006810/GO:0016020/GO:0015144/GO:0055085/GO:0016020/GO:0006810/GO:0022891/GO:0022857/GO:0015144/GO:0022857/GO:0005215/GO:0005215/GO:0055085/GO:0005351/GO:0022891/GO:0016021/GO:0016021/GO:0055085/GO:0016020,S_alt_contig04026_RC,LOC_Os02g17500,CUST_10221_PI428634872,S_alt_contig04026_RC,1,0,1,0.5
AT3G18850,GO:0008152/GO:0005739/GO:0005739/GO:0005739/GO:0016746/GO:0005739/GO:0016746/GO:0008152/GO:0016746/GO:0016746/GO:0008152/GO:0008152/GO:0016746/GO:0008152/GO:0005739/GO:0008152/GO:0016746,S_alt_contig04027,LOC_Os01g57360,CUST_10222_PI428634872,S_alt_contig04027,1,0,1,0.5
NA,,S_alt_contig04029_NB,,CUST_10223_PI428634872,S_alt_contig04029_NB,1,0,1,0.5
AT2G38020,GO:0007033/GO:0006487/GO:0007030/GO:0006486/GO:0009705/GO:0006886/GO:0010413/GO:0006487/GO:0010413/GO:0005622/GO:0006486/GO:0045492/GO:0006886/GO:0006623/GO:0007030/GO:0016926/GO:0007033/GO:0010228/GO:0050665/GO:0016926/GO:0009705/GO:0007033/GO:0003674/GO:0007033/GO:0009705/GO:0045492/GO:0006487/GO:0006886/GO:0006623/GO:0006886/GO:0050665/GO:0016926/GO:0006486,S_alt_contig04036_RC,LOC_Os01g47650,CUST_10227_PI428634872,S_alt_contig04036_RC,1,0,1,0.5
AT1G01090,GO:0009507/GO:0009941/GO:0005739/GO:0006096/GO:0009570/GO:0009941/GO:0004739/GO:0009941/GO:0043231/GO:0004739/GO:0008152/GO:0009941/GO:0016624/GO:0009570/GO:0009570/GO:0009941/GO:0009536/GO:0009941/GO:0009941/GO:0004739/GO:0006096/GO:0009941/GO:0009570/GO:0008152/GO:0055114,S_5sp_contig21519,LOC_Os04g02900,CUST_1022_PI428634872,S_5sp_contig21519,1,0,1,0.5
AT2G14830,GO:0005634/GO:0008150/GO:0008270/GO:0005737,S_alt_contig04043,LOC_Os12g32374,CUST_10232_PI428634872,S_alt_contig04043,1,0,1,0.5
NA,,S_alt_contig04050_NB,,CUST_10236_PI428634872,S_alt_contig04050_NB,1,0,1,0.5
AT4G18260,GO:0016020/GO:0016021/GO:0009507,S_alt_contig04052,LOC_Os01g47620,CUST_10238_PI428634872,S_alt_contig04052,1,0,1,0.5
AT1G48790,GO:0016192/GO:0006511/GO:0006511/GO:0003674/GO:0006623/GO:0006511/GO:0006623/GO:0005634,S_5sp_contig21531,LOC_Os01g47262,CUST_1024_PI428634872,S_5sp_contig21531,1,0,1,0.5
NA,,S_alt_contig04067_NB,,CUST_10250_PI428634872,S_alt_contig04067_NB,1,1,2,1
AT5G13450,GO:0005739/GO:0005739/GO:0006511/GO:0016020/GO:0051788/GO:0005739/GO:0005886/GO:0008270/GO:0005739/GO:0009853/GO:0009507/GO:0015986/GO:0015986/GO:0005886/GO:0000275/GO:0005886/GO:0015986/GO:0015979/GO:0005739/GO:0000302/GO:0005753/GO:0005739/GO:0010039/GO:0080129/GO:0046933/GO:0005739/GO:0055072/GO:0000275/GO:0046933/GO:0050897/GO:0005753/GO:0046933/GO:0009507/GO:0015986/GO:0015979/GO:0005753/GO:0015986/GO:0016020/GO:0000275/GO:0000275/GO:0009853/GO:0046933/GO:0006511/GO:0005753/GO:0046933/GO:0046933/GO:0015986/GO:0006511,S_alt_contig04068,LOC_Os06g43850,CUST_10251_PI428634872,S_alt_contig04068,1,1,2,1
AT4G34610,GO:0003700/GO:0006355/GO:0006355/GO:0006355/GO:0006355/GO:0005634/GO:0043565/GO:0043565/GO:0003677/GO:0003700/GO:0005634/GO:0048513/GO:0003700/GO:0006355/GO:0006355,S_alt_contig04076,LOC_Os03g47740,CUST_10256_PI428634872,S_alt_contig04076,1,0,1,0.5
NA,,S_alt_contig04084_NB,,CUST_10264_PI428634872,S_alt_contig04084_NB,1,0,1,0.5
AT5G65840,GO:0009507/GO:0055114/GO:0009570/GO:0009570/GO:0016491/GO:0016209/GO:0009570/GO:0009570/GO:0009507,S_alt_contig04092,LOC_Os03g51950,CUST_10270_PI428634872,S_alt_contig04092,1,0,1,0.5
AT1G63690,GO:0005768/GO:0004190/GO:0005768/GO:0004190/GO:0005886/GO:0005768/GO:0005768/GO:0008233/GO:0005794/GO:0005886/GO:0005794/GO:0006508,S_alt_contig04094_RC,LOC_Os06g51430,CUST_10272_PI428634872,S_alt_contig04094_RC,1,0,1,0.5
AT3G02830,GO:0008270/GO:0003676/GO:0017148/GO:0004518/GO:0005829/GO:0005634/GO:0003676/GO:0017148/GO:0003677/GO:0010313/GO:0010313/GO:0048027/GO:0017148,S_5sp_contig21555,LOC_Os01g68860,CUST_1027_PI428634872,S_5sp_contig21555,1,0,1,0.5
AT5G55060,GO:0005737/GO:0008150/GO:0003674/GO:0005737,S_alt_contig04111,LOC_Os07g32670,CUST_10286_PI428634872,S_alt_contig04111,1,0,1,0.5
AT1G05960,GO:0008150/GO:0005886/GO:0005886,S_alt_contig04116,LOC_Os01g67290,CUST_10288_PI428634872,S_alt_contig04116,1,0,1,0.5
AT5G22850,GO:0006508/GO:0006508/GO:0005576/GO:0004190,S_alt_contig04121_RC,LOC_Os01g56930,CUST_10292_PI428634872,S_alt_contig04121_RC,1,0,1,0.5
AT3G02760,GO:0006427/GO:0000166/GO:0005829/GO:0048481/GO:0006427/GO:0006418/GO:0005524/GO:0006427/GO:0005737/GO:0006427/GO:0006418/GO:0006427/GO:0004812/GO:0006427/GO:0004821/GO:0004821/GO:0005524/GO:0006418,S_alt_contig04132,LOC_Os05g05840,CUST_10299_PI428634872,S_alt_contig04132,1,1,2,1
AT1G75660,GO:0010638/GO:0004534/GO:0032204/GO:0033044/GO:0016558/GO:0032204/GO:0006310/GO:0033044/GO:0016558/GO:0005634/GO:0005634/GO:0031048/GO:0007131/GO:0007062/GO:0043247/GO:0007062/GO:0010638/GO:0009888/GO:0004527/GO:0006139/GO:0009887/GO:0004534/GO:0043247/GO:0010587/GO:0043247/GO:0031048/GO:0016558/GO:0043247/GO:0010587/GO:0006139/GO:0032204/GO:0006635/GO:0010332/GO:0042138/GO:0031048/GO:0007126/GO:0004534/GO:0008270/GO:0032204/GO:0007131/GO:0003676/GO:0042138/GO:0045132/GO:0006635,S_alt_contig04133,LOC_Os01g65220,CUST_10300_PI428634872,S_alt_contig04133,1,1,2,1
AT5G64300,GO:0003935/GO:0009231/GO:0009231/GO:0009231/GO:0008686/GO:0008686/GO:0009570/GO:0009570/GO:0003935/GO:0003935/GO:0009570/GO:0009231/GO:0009570/GO:0009231/GO:0008686/GO:0009231/GO:0016020/GO:0048767/GO:0048767/GO:0003935/GO:0009507/GO:0009507/GO:0009231/GO:0009231,S_alt_contig04153,LOC_Os02g36340,CUST_10309_PI428634872,S_alt_contig04153,1,0,1,0.5
AT1G76620,GO:0008150/GO:0003674,S_alt_contig04163_RC,LOC_Os08g40420,CUST_10317_PI428634872,S_alt_contig04163_RC,1,1,2,1
AT1G35470,GO:0008150/GO:0005634/GO:0005634/GO:0003674/GO:0005737/GO:0005634,S_alt_contig04164,LOC_Os02g35070,CUST_10318_PI428634872,S_alt_contig04164,1,0,1,0.5
AT2G20900,GO:0004143/GO:0009723/GO:0004143/GO:0007205/GO:0004143/GO:0004143/GO:0007205/GO:0004143/GO:0007205/GO:0004143/GO:0004143/GO:0007205/GO:0004143/GO:0007205/GO:0004143/GO:0004143,S_alt_contig04173,LOC_Os08g08110,CUST_10323_PI428634872,S_alt_contig04173,1,0,1,0.5
NA,,S_alt_contig04175_NB,,CUST_10325_PI428634872,S_alt_contig04175_NB,1,1,2,1
NA,,S_alt_contig04186_NB,,CUST_10332_PI428634872,S_alt_contig04186_NB,1,0,1,0.5
AT1G09580,GO:0006886/GO:0008320/GO:0006886/GO:0016021/GO:0006810/GO:0016020,S_alt_contig04187,LOC_Os06g10760,CUST_10333_PI428634872,S_alt_contig04187,1,1,2,1
AT5G08110,GO:0007062/GO:0045132/GO:0031048/GO:0008026/GO:0005524/GO:0031048/GO:0005524/GO:0031048/GO:0004386/GO:0003676/GO:0005634/GO:0007062/GO:0008026,S_alt_contig04195_RC,LOC_Os07g41570,CUST_10338_PI428634872,S_alt_contig04195_RC,1,1,2,1
AT3G24430,GO:0015995/GO:0010027/GO:0006098/GO:0009902/GO:0016226/GO:0009507/GO:0000023/GO:0015979/GO:0034660/GO:0016226/GO:0016117/GO:0009507/GO:0006364/GO:0015995/GO:0034660/GO:0009570/GO:0005524/GO:0000023/GO:0010027/GO:0043085/GO:0006098/GO:0019288/GO:0015979/GO:0019252/GO:0009570/GO:0006364/GO:0019252/GO:0005524/GO:0009570/GO:0019288/GO:0009507/GO:0009902/GO:0009570/GO:0016117,S_alt_contig04198_RC,LOC_Os01g52170,CUST_10340_PI428634872,S_alt_contig04198_RC,1,0,1,0.5
AT5G54600,GO:0015934/GO:0009570/GO:0006412/GO:0009570/GO:0032544/GO:0009570/GO:0009570/GO:0009941/GO:0019288/GO:0009570/GO:0009941/GO:0009507/GO:0015934/GO:0009570/GO:0032544/GO:0009507/GO:0003735/GO:0006412/GO:0019288/GO:0015934/GO:0009507/GO:0009507/GO:0009570/GO:0009941/GO:0006412/GO:0032544/GO:0009941/GO:0009570/GO:0003735/GO:0009507/GO:0003735/GO:0032544,S_alt_contig04199,LOC_Os06g46930,CUST_10341_PI428634872,S_alt_contig04199,1,0,1,0.5
AT5G38660,GO:0010207/GO:0009534/GO:0010207/GO:0008150/GO:0019252/GO:0009941/GO:0010207/GO:0009535/GO:0009535/GO:0009534/GO:0009535/GO:0010207/GO:0019252/GO:0016020/GO:0009535/GO:0000023/GO:0009534/GO:0009535/GO:0009535/GO:0009535/GO:0009507/GO:0009941/GO:0009941/GO:0005739/GO:0000023/GO:0030154/GO:0009965/GO:0009535/GO:0009535/GO:0009941/GO:0003674/GO:0009534/GO:0009507/GO:0009535,S_alt_contig04206,LOC_Os08g27010,CUST_10346_PI428634872,S_alt_contig04206,1,0,1,0.5
AT4G13360,GO:0003824/GO:0005739/GO:0008152/GO:0008152/GO:0003824/GO:0005829,S_5sp_contig21599,LOC_Os06g39344,CUST_1035_PI428634872,S_5sp_contig21599,1,1,2,1
NA,,S_alt_contig04231_NB,,CUST_10363_PI428634872,S_alt_contig04231_NB,1,0,1,0.5
AT1G79550,GO:0005634/GO:0004618/GO:0016020/GO:0004618/GO:0005634/GO:0005829/GO:0006096/GO:0009570/GO:0005886/GO:0005737/GO:0006096/GO:0006096/GO:0034976/GO:0005829/GO:0004618/GO:0005774/GO:0006096/GO:0005737/GO:0005774/GO:0046686/GO:0046685/GO:0005886/GO:0005886/GO:0005774/GO:0005829/GO:0048046/GO:0005774/GO:0006096/GO:0009570/GO:0009570/GO:0005774/GO:0016020/GO:0009506/GO:0004618/GO:0006096/GO:0048046/GO:0048046/GO:0005774/GO:0009570/GO:0004618/GO:0004618/GO:0034976/GO:0005886,S_alt_contig04232_RC,LOC_Os02g07260,CUST_10364_PI428634872,S_alt_contig04232_RC,1,0,1,0.5
AT3G01390,GO:0005773/GO:0005774/GO:0015991/GO:0016820/GO:0016471/GO:0046933/GO:0015992/GO:0016471/GO:0005774/GO:0005773/GO:0005773/GO:0006007/GO:0005774/GO:0016820/GO:0005773/GO:0046933/GO:0016820/GO:0005773/GO:0016471/GO:0005829/GO:0005829/GO:0015992/GO:0005773/GO:0016820/GO:0005773/GO:0005773/GO:0005886/GO:0005774/GO:0016469/GO:0016471/GO:0005886/GO:0005774/GO:0005794/GO:0005794/GO:0016471/GO:0005773/GO:0000325/GO:0005774/GO:0016471/GO:0000325/GO:0015991/GO:0005773,S_alt_contig04236,LOC_Os04g51270,CUST_10367_PI428634872,S_alt_contig04236,1,0,1,0.5
AT5G08565,GO:0032786/GO:0006355/GO:0006355/GO:0005634/GO:0032786/GO:0000394/GO:0008270/GO:0005634/GO:0000394/GO:0005634/GO:0008270/GO:0032786/GO:0006355/GO:0032786/GO:0006355/GO:0032786/GO:0006366/GO:0032786/GO:0005634/GO:0006355/GO:0006355,S_alt_contig04238,LOC_Os07g43060,CUST_10369_PI428634872,S_alt_contig04238,1,0,1,0.5
AT5G21070,GO:0003674/GO:0008150/GO:0005575,S_alt_contig04240_RC,LOC_Os01g17020,CUST_10371_PI428634872,S_alt_contig04240_RC,1,0,1,0.5
AT3G54460,GO:0004386/GO:0003676/GO:0005524/GO:0008270/GO:0005524/GO:0005634/GO:0003677/GO:0009506,S_alt_contig04243,LOC_Os01g72310,CUST_10373_PI428634872,S_alt_contig04243,1,0,1,0.5
