AT,TargetID
NA,S_alt_contig04531
AT3G12360,S_alt_contig04539
AT5G46290,S_alt_contig04552
AT2G39050,S_alt_contig04561
AT5G06370,S_5sp_contig21874
AT1G17440,S_alt_contig04572
AT4G26240,S_alt_contig04591
AT5G04590,S_alt_contig04600
NA,S_alt_contig04608_NB
AT1G56130,S_alt_contig04618
AT2G36960,S_5sp_contig21924
AT5G42220,S_alt_contig04635
AT1G34750,S_alt_contig04644
NA,S_alt_contig04648_NB
ATMG00570,S_alt_contig04651_RC
AT3G22425,S_5sp_contig21949
AT2G38610,S_alt_contig04672
NA,S_alt_contig04681_NB
AT1G70620,S_alt_contig04684
AT3G47570,S_alt_contig04685
AT2G07707,S_alt_contig04689_RC
NA,S_alt_contig04711_RC
NA,S_alt_contig04712_RC
AT4G08180,S_alt_contig04713_RC
AT1G34750,S_alt_contig04721
NA,S_alt_contig04723_NB
NA,S_alt_contig04726_NB
NA,S_alt_contig04731_RC
AT2G39890,S_alt_contig04733
AT1G79270,S_alt_contig04743_RC
AT2G35060,S_alt_contig04755
AT2G34040,S_5sp_contig21992
AT4G32410,S_alt_contig04787
AT5G44240,S_alt_contig04794_RC
AT4G12790,S_5sp_contig21995
AT1G18950,S_alt_contig04811_RC
AT1G05910,S_alt_contig04828
AT4G12790,S_5sp_contig21998
AT5G62000,S_5sp_contig05510
AT4G17330,S_alt_contig04833_RC
AT3G55440,S_alt_contig04837_RC
AT3G57890,S_alt_contig04843
AT5G24610,S_alt_contig04849_RC
AT1G11755,S_5sp_contig22001_RC
AT5G13490,S_alt_contig04854
AT3G42170,S_alt_contig04861
AT5G66820,S_5sp_contig22010
AT5G57870,S_alt_contig04875
NA,S_alt_contig04881
AT1G31340,S_alt_contig04890
AT3G50210,S_alt_contig04896
AT5G46630,S_alt_contig04910
AT5G60760,S_alt_contig04928_RC
AT1G59610,S_alt_contig04930_RC
AT5G48380,S_alt_contig04949
AT5G26030,S_alt_contig04954_RC
AT2G39890,S_alt_contig04966
AT2G39890,S_alt_contig04967
AT5G14220,S_alt_contig04969
AT3G43790,S_alt_contig05012
AT3G43790,S_alt_contig05013
AT5G04280,S_alt_contig05014_RC
AT5G06830,S_alt_contig05021
AT2G26980,S_alt_contig05033_RC
AT4G28400,S_alt_contig05034
AT5G06360,S_alt_contig05052
AT1G13635,S_alt_contig05078
AT3G20720,S_alt_contig05094_RC
AT2G26570,S_alt_contig05111_RC
AT1G03510,S_alt_contig05116
AT5G06970,S_alt_contig05120
AT4G17570,S_alt_contig05122_RC
AT1G05910,S_alt_contig05142_RC
AT3G51840,S_alt_contig05152
AT5G11110,S_alt_contig05155
AT4G20850,S_alt_contig05171
AT1G26110,S_alt_contig05172
AT4G34090,S_alt_contig05173_RC
AT4G03260,S_alt_contig05184
NA,S_alt_contig05205
AT1G32540,S_alt_contig05221_RC
AT5G44800,S_alt_contig05222
AT1G67325,S_alt_contig05244_RC
AT5G64740,S_alt_contig05245
AT1G55860,S_alt_contig05247_RC
AT5G19010,S_alt_contig05264
NA,S_alt_contig05265_NB
AT5G64020,S_alt_contig05276_RC
AT1G09870,S_alt_contig05297
AT3G51300,S_alt_contig05325
AT3G16500,S_alt_contig05326
AT5G39850,S_alt_contig05350_RC
NA,S_alt_contig05351_NB
AT1G20080,S_alt_contig05354
AT5G02580,S_alt_contig05378_RC
NA,S_alt_contig05379_RC
AT2G44820,S_alt_contig05387
AT5G56140,S_alt_contig05398
AT2G19160,S_alt_contig05403
NA,S_alt_contig05417_NB
AT1G17820,S_alt_contig05418
AT1G73180,S_alt_contig05429
AT2G38610,S_alt_contig05444_RC
AT4G31480,S_alt_contig05448
AT1G23820,S_alt_contig05483
AT1G04160,S_alt_contig05488
AT3G15260,S_alt_contig05494
AT5G63840,S_alt_contig05500
AT5G05170,S_alt_contig05504
AT1G64600,S_alt_contig05514_RC
AT1G18040,S_alt_contig05519
AT3G25520,S_alt_contig05538
AT2G02560,S_alt_contig05543
AT3G25520,S_alt_contig05545
AT2G43650,S_alt_contig05546_RC
AT3G45630,S_alt_contig05552
AT1G09140,S_alt_contig05553
AT1G09140,S_alt_contig05554
AT3G17020,S_alt_contig05562
NA,S_alt_contig05563_NB
NA,S_alt_contig05598_NB
AT5G23450,S_5sp_contig22279
AT5G23450,S_5sp_contig22280
NA,S_alt_contig05658_NB
AT1G45000,S_alt_contig05682
AT1G17220,S_alt_contig05685_RC
AT1G13560,S_alt_contig05729_RC
AT3G06670,S_alt_contig05732
AT1G02840,S_alt_contig05790
AT5G64740,S_alt_contig05799
AT4G26270,S_alt_contig05801
AT3G05700,S_5sp_contig22357
AT1G69040,S_alt_contig05808
AT1G74690,S_alt_contig05819
AT5G10290,S_alt_contig05835_RC
AT5G27830,S_5sp_contig22359
AT5G32470,S_alt_contig05844
AT5G63400,S_alt_contig05847
AT1G09850,S_alt_contig05849
NA,S_alt_contig05866_NB
AT3G15355,S_alt_contig05892_RC
NA,S_alt_contig05893_RC
AT1G61250,S_alt_contig05896_RC
AT3G51030,S_alt_contig05899
AT5G13640,S_alt_contig05900_RC
NA,S_alt_contig05902
AT1G36180,S_alt_contig05907_RC
AT5G57160,S_alt_contig05918
AT1G59760,S_alt_contig05919
AT2G17520,S_alt_contig05920
AT2G34730,S_alt_contig05925
AT4G10930,S_alt_contig05941
AT3G02520,S_alt_contig05956
AT2G39810,S_alt_contig05960
AT1G08820,S_alt_contig05966
AT2G17520,S_alt_contig05980
AT1G08820,S_alt_contig06034
NA,S_alt_contig06040_NB
NA,S_alt_contig06046
AT1G15500,S_alt_contig06061_RC
AT1G36050,S_alt_contig06069_RC
AT4G24330,S_alt_contig06078
AT1G02120,S_5sp_contig22511_RC
AT5G57110,S_alt_contig06098
NA,S_alt_contig06099_NB
AT3G01820,S_5sp_contig22531_RC
AT1G21170,S_alt_contig06144
AT1G67230,S_alt_contig06148_RC
AT5G27720,S_alt_contig06150
AT4G10760,S_5sp_contig22559
AT4G34040,S_alt_contig06161_RC
AT4G34040,S_alt_contig06166_RC
AT4G00570,S_alt_contig06171_RC
AT4G10760,S_5sp_contig22560
AT5G06950,S_alt_contig06175
AT5G54280,S_alt_contig06182_RC
AT5G02960,S_alt_contig06186_RC
AT1G03060,S_alt_contig06193
ATMG01360,S_alt_contig06205_RC
AT1G09430,S_alt_contig06217
AT4G12560,S_alt_contig06218
NA,S_alt_contig06236_NB
AT2G25050,S_5sp_contig22635
AT1G50380,S_alt_contig06253
AT1G60670,S_alt_contig06263
AT3G43190,S_5sp_contig05674_RC
AT4G10730,S_alt_contig06281
AT1G31800,S_alt_contig06290_RC
AT3G04740,S_alt_contig06296
AT2G36850,S_alt_contig06297
AT1G04120,S_alt_contig06317_RC
AT4G40030,S_alt_contig06321
AT4G29010,S_alt_contig06366
AT1G62020,S_alt_contig06377
AT5G65290,S_alt_contig06400
NA,S_alt_contig06422_RC
NA,S_alt_contig06438_RC
AT5G01460,S_alt_contig06439_RC
AT2G46915,S_5sp_contig22699
AT4G07410,S_alt_contig06451
AT5G41360,S_alt_contig06488
AT2G36780,S_5sp_contig22735
AT1G53910,S_alt_contig06490
AT1G02080,S_alt_contig06491_RC
AT5G20490,S_alt_contig06495_RC
AT2G21870,S_alt_contig06498
AT2G36770,S_5sp_contig22738
AT4G02480,S_alt_contig06509
AT1G14000,S_alt_contig06530
AT5G47020,S_alt_contig06533
AT5G41210,S_alt_contig06551_RC
AT4G21570,S_alt_contig06555
AT2G17200,S_alt_contig06560
AT2G42880,S_alt_contig06572_RC
AT3G11540,S_alt_contig06590_RC
AT1G03110,S_alt_contig06592
AT5G19400,S_alt_contig06595
AT2G37570,S_alt_contig06608_RC
AT2G38010,S_alt_contig06613_RC
AT3G58660,S_alt_contig06621_RC
AT3G19960,S_alt_contig06625_RC
AT2G38410,S_alt_contig06636
AT3G57220,S_alt_contig06657
AT5G04140,S_alt_contig06668_RC
AT1G19870,S_alt_contig06669_RC
AT5G18420,S_alt_contig06679
NA,S_alt_contig06681_NB
AT3G06650,S_alt_contig06700_RC
AT5G05580,S_alt_contig06703
NA,S_alt_contig06708_RC
AT5G64940,S_alt_contig06720
AT1G12470,S_alt_contig06730
AT1G12470,S_alt_contig06731
AT1G79810,S_alt_contig06741_RC
AT2G18790,S_alt_contig06746
AT5G03650,S_alt_contig06763
NA,S_alt_contig06765_RC
AT2G31400,S_alt_contig06778_RC
AT5G65530,S_alt_contig06798
AT4G05190,S_alt_contig06806_RC
AT1G54320,S_alt_contig06820_RC
AT1G54320,S_alt_contig06821_RC
AT1G69830,S_alt_contig06828_RC
AT1G30970,S_alt_contig06835
NA,S_alt_contig06851_NB
AT1G70730,S_alt_contig06854
AT4G04910,S_alt_contig06870
AT1G10940,S_alt_contig06889
AT1G54320,S_alt_contig06898
AT4G35020,S_alt_contig06903_RC
AT3G17365,S_5sp_contig22894
AT1G18340,S_alt_contig06907_RC
AT3G12010,S_alt_contig06929
AT1G77590,S_alt_contig06931
AT1G55520,S_5sp_contig22899
AT1G70730,S_alt_contig06935
AT5G61910,S_alt_contig06942_RC
AT5G16610,S_alt_contig06946
AT1G55520,S_5sp_contig22900
AT2G32580,S_alt_contig06954
AT1G50120,S_alt_contig06967
AT3G10360,S_alt_contig06978
AT3G24440,S_alt_contig07002
AT1G77120,S_alt_contig07004_RC
AT5G21040,S_alt_contig07006
AT2G26060,S_alt_contig07015
AT1G70730,S_alt_contig07016
AT2G41680,S_alt_contig07018
AT1G77120,S_alt_contig07030_RC
AT4G18240,S_alt_contig07044
AT1G43850,S_alt_contig07053
AT5G49430,S_alt_contig07068
AT3G51870,S_alt_contig07069
AT3G51870,S_alt_contig07101
AT3G26935,S_alt_contig07102_RC
AT3G62900,S_alt_contig07109_RC
AT5G49580,S_alt_contig07113
AT5G14240,S_alt_contig07115
AT3G21865,S_alt_contig07130
AT1G77590,S_alt_contig07147
AT1G21200,S_alt_contig07148
AT3G21810,S_alt_contig07162
AT1G04130,S_5sp_contig22959
NA,S_alt_contig07180_RC
AT2G02370,S_alt_contig07182
AT2G47250,S_alt_contig07197_RC
AT5G58410,S_alt_contig07198_RC
AT3G15970,S_alt_contig07208_RC
AT2G32700,S_alt_contig07216_RC
AT5G42870,S_alt_contig07219_RC
AT2G19520,S_alt_contig07224
AT1G05790,S_alt_contig07230
AT4G23160,S_alt_contig07234_RC
NA,S_alt_contig07237_NB
AT1G08030,S_alt_contig07261
AT5G10840,S_alt_contig07276
NA,S_alt_contig07277_NB
AT4G12780,S_alt_contig07283_RC
AT3G01380,S_alt_contig07303
AT5G47820,S_alt_contig07306
NA,S_alt_contig07319_NB
AT1G24764,S_alt_contig07337
AT1G04790,S_alt_contig07338_RC
AT4G08790,S_alt_contig07343_RC
AT5G49710,S_5sp_contig23002
AT1G24764,S_alt_contig07344
AT3G27960,S_alt_contig07349_RC
AT3G51840,S_alt_contig07374
AT4G25030,S_alt_contig07380
AT5G03300,S_alt_contig07409_RC
AT5G06460,S_alt_contig07426
AT1G15860,S_alt_contig07434
AT5G18610,S_alt_contig07438
AT5G20920,S_alt_contig07440
AT1G78580,S_alt_contig07444
AT5G01400,S_alt_contig07446
AT2G46340,S_alt_contig07454_RC
AT3G17510,S_alt_contig07458
NA,S_alt_contig07463_NB
AT1G79650,S_alt_contig07467_RC
AT3G07270,S_5sp_contig23069_RC
AT5G01990,S_alt_contig07476
AT4G24200,S_alt_contig07477
AT4G00440,S_alt_contig07480_RC
AT5G19200,S_5sp_contig23074_RC
AT4G27080,S_alt_contig07490
AT5G03040,S_alt_contig07491_RC
AT1G15030,S_alt_contig07493_RC
AT1G76350,S_alt_contig07503
AT1G72330,S_alt_contig07506
AT2G13680,S_alt_contig07510_RC
AT1G33110,S_alt_contig07512_RC
AT1G53400,S_5sp_contig23109
AT4G08350,S_alt_contig07522_RC
AT1G22170,S_alt_contig07525
AT1G07910,S_alt_contig07527_RC
NA,S_alt_contig07530
AT2G27170,S_alt_contig07550
NA,S_alt_contig07552
AT5G18280,S_alt_contig07554
AT1G53400,S_5sp_contig23111
AT2G31510,S_alt_contig07563
AT1G21230,S_alt_contig07567_RC
AT1G02380,S_alt_contig07569
NA,S_alt_contig07570_NB
AT1G11910,S_alt_contig07578
AT5G08530,S_alt_contig07585
NA,S_alt_contig07590_NB
AT1G32410,S_alt_contig07601
AT3G56440,S_alt_contig07605
AT1G32230,S_alt_contig07614
AT2G18600,S_alt_contig07636
AT5G36700,S_alt_contig07640
AT5G35410,S_alt_contig07648_RC
AT4G35310,S_alt_contig07651
AT5G15080,S_5sp_contig23159_RC
AT5G62790,S_alt_contig07665
AT2G14910,S_alt_contig07666_RC
AT2G41560,S_alt_contig07667
AT4G25880,S_alt_contig07674
AT5G01650,S_alt_contig07678
AT4G18905,S_alt_contig07692_RC
AT4G29380,S_alt_contig07693
AT2G04030,S_alt_contig07719
AT1G76390,S_alt_contig07720
AT2G33435,S_alt_contig07721_RC
AT1G29900,S_alt_contig07754
AT5G54390,S_5sp_contig23235
AT3G52250,S_alt_contig07783
AT5G19780,S_alt_contig07793
AT3G61690,S_alt_contig07798
AT1G76150,S_5sp_contig23251_RC
AT3G61690,S_alt_contig07816
AT3G05090,S_alt_contig07822
AT1G20890,S_5sp_contig23259
AT3G61710,S_alt_contig07839
AT1G63120,S_alt_contig07844_RC
AT1G20890,S_5sp_contig23260
AT4G28610,S_alt_contig07862
AT5G07920,S_alt_contig07871
AT3G61690,S_alt_contig07875
AT1G07930,S_alt_contig07892
AT5G57580,S_alt_contig07902
NA,S_alt_contig07911_NB
AT2G19710,S_alt_contig07913
AT1G10630,S_alt_contig07925
NA,S_5sp_contig23319
AT3G16520,S_5sp_contig23335
AT4G25670,S_alt_contig08017
AT2G33740,S_5sp_contig23379
AT3G11945,S_alt_contig08039
AT2G31840,S_5sp_contig23384
AT2G23390,S_alt_contig08050
AT1G49670,S_alt_contig08053_RC
AT1G04300,S_alt_contig08054
AT5G05410,S_alt_contig08057_RC
AT2G31840,S_5sp_contig23385
AT3G48530,S_alt_contig08061_RC
AT1G30825,S_alt_contig08066_RC
NA,S_alt_contig08074_NB
AT5G02810,S_alt_contig08078_RC
AT3G51120,S_alt_contig08102_RC
AT5G58230,S_alt_contig08109
AT2G22310,S_alt_contig08113
NA,S_alt_contig08116_NB
AT2G30050,S_5sp_contig23429
AT5G53480,S_alt_contig08134_RC
NA,S_alt_contig08137
AT5G28850,S_alt_contig08143_RC
AT1G33490,S_alt_contig08145
AT4G38630,S_alt_contig08149
NA,S_alt_contig08158_NB
AT3G56150,S_alt_contig08165
AT5G06560,S_5sp_contig23441
AT2G25290,S_alt_contig08171
AT2G16460,S_5sp_contig23479
AT1G32440,S_alt_contig08198_RC
AT3G12630,S_alt_contig08205
AT5G16620,S_alt_contig08217_RC
AT1G36160,S_alt_contig08218_RC
AT3G56990,S_5sp_contig23489
AT1G32330,S_alt_contig08246
AT5G49720,S_alt_contig08252_RC
AT1G11020,S_alt_contig08264_RC
AT5G27920,S_alt_contig08280
AT3G56740,S_alt_contig08281_RC
AT5G36880,S_alt_contig08290
NA,S_alt_contig08298_RC
AT3G59760,S_alt_contig08301_RC
AT1G59700,S_alt_contig08302_RC
NA,S_alt_contig08320_RC
AT4G20060,S_5sp_contig23510
AT3G51130,S_alt_contig08326
AT1G74260,S_alt_contig08338
AT4G33565,S_5sp_contig23524
AT5G21990,S_alt_contig08355
NA,S_alt_contig08367_NB
AT4G33760,S_5sp_contig23530_RC
AT5G63110,S_alt_contig08373
AT5G35200,S_alt_contig08378
AT4G13430,S_alt_contig08379_RC
AT4G11740,S_alt_contig08390
AT1G21320,S_alt_contig08402_RC
AT2G47160,S_alt_contig08412_RC
AT1G07410,S_alt_contig08417
AT5G67030,S_alt_contig08431_RC
AT3G22440,S_alt_contig08446
AT2G38320,S_alt_contig08451
AT1G68920,S_5sp_contig23626
AT1G52600,S_alt_contig08470
AT1G68920,S_5sp_contig23627
AT5G47770,S_alt_contig08487
AT2G44350,S_alt_contig08490
AT1G14810,S_alt_contig08511
AT1G04250,S_alt_contig08522
AT3G12490,S_alt_contig08530
AT5G25150,S_alt_contig08549_RC
AT4G39090,S_alt_contig08574
AT3G51730,S_alt_contig08585_RC
AT1G45332,S_alt_contig08598_RC
AT2G03890,S_alt_contig08601
AT4G21380,S_alt_contig08609_RC
NA,S_alt_contig08615_NB
AT1G16610,S_5sp_contig23670
AT1G32060,S_alt_contig08618
AT4G32600,S_alt_contig08630_RC
AT5G41980,S_alt_contig08636
AT5G25220,S_alt_contig08638
AT1G14850,S_alt_contig08643_RC
AT2G26280,S_alt_contig08658
AT3G30380,S_alt_contig08662
AT1G32050,S_alt_contig08673
AT3G44200,S_alt_contig08674
AT5G17910,S_alt_contig08737_RC
AT2G48120,S_alt_contig08738_RC
AT1G15080,S_alt_contig08743_RC
AT4G02120,S_alt_contig08746
AT2G34480,S_alt_contig08757_RC
AT3G17590,S_5sp_contig23725
AT4G39090,S_alt_contig08764
AT3G11320,S_alt_contig08765
AT5G26940,S_alt_contig08766_RC
AT5G49820,S_alt_contig08767_RC
AT1G11650,S_alt_contig08769_RC
AT5G08120,S_alt_contig08770_RC
AT1G16040,S_5sp_contig23739
AT1G47500,S_alt_contig08773_RC
AT2G21520,S_alt_contig08789_RC
AT5G42950,S_alt_contig08793
AT3G18040,S_alt_contig08794_RC
AT1G69340,S_alt_contig08800
AT3G09630,S_alt_contig08805
AT5G61450,S_5sp_contig06230_RC
AT4G04720,S_alt_contig08813
AT3G10660,S_alt_contig08822_RC
AT5G11850,S_alt_contig08823
AT3G53850,S_5sp_contig23784
AT1G12360,S_alt_contig08845
AT1G20110,S_alt_contig08848
AT4G33460,S_alt_contig08849
AT5G55390,S_alt_contig08875
AT3G63460,S_alt_contig08878
AT1G69360,S_alt_contig08888_RC
AT1G09430,S_alt_contig08896
AT1G48880,S_alt_contig08899_RC
AT5G48830,S_alt_contig08918
AT1G72660,S_alt_contig08925_RC
AT2G19260,S_alt_contig08946_RC
AT3G52120,S_alt_contig08950
AT1G08700,S_alt_contig08966
AT5G13300,S_alt_contig08968_RC
AT4G22310,S_alt_contig08983
AT4G22310,S_alt_contig08991
AT2G32170,S_alt_contig09001
AT1G71840,S_alt_contig09003
AT4G02020,S_alt_contig09006
AT5G22010,S_alt_contig09012
AT5G08680,S_alt_contig09013
AT4G00630,S_alt_contig09021_RC
AT3G48090,S_alt_contig09023
AT5G13390,S_alt_contig09027_RC
AT4G22140,S_alt_contig09030
AT4G16144,S_alt_contig09044
AT1G11360,S_5sp_contig23959
AT3G52390,S_alt_contig09060
AT1G21610,S_alt_contig09074
AT1G04980,S_alt_contig09090
AT5G24650,S_alt_contig09099
AT4G02860,S_5sp_contig23979
AT5G14420,S_alt_contig09102
AT1G20980,S_alt_contig09127
AT3G05320,S_alt_contig09135_RC
AT2G21170,S_alt_contig09136
AT1G20980,S_alt_contig09140
AT2G29210,S_alt_contig09142
AT3G17850,S_alt_contig09147
AT1G52280,S_alt_contig09154_RC
AT5G43130,S_alt_contig09166
AT4G34670,S_alt_contig09183
AT1G17500,S_alt_contig09196
AT3G06720,S_alt_contig09200
AT3G07140,S_alt_contig09214
AT3G61650,S_alt_contig09221
NA,S_alt_contig09225
AT1G64040,S_alt_contig09231_RC
AT1G14650,S_alt_contig09232
AT1G18260,S_alt_contig09235
AT1G18260,S_alt_contig09237
NA,S_alt_contig09247
AT1G60995,S_alt_contig09263
AT3G63490,S_alt_contig09266
AT1G64990,S_5sp_contig24112_RC
NA,S_alt_contig09275
AT5G13280,S_alt_contig09277
AT1G75680,S_alt_contig09278
AT1G75660,S_alt_contig09280
AT5G19840,S_alt_contig09289_RC
NA,S_alt_contig09292_NB
AT2G31660,S_alt_contig09301_RC
AT4G37830,S_5sp_contig24125
AT4G27070,S_alt_contig09303
AT5G06120,S_alt_contig09304_RC
AT4G37830,S_5sp_contig24127
AT1G48850,S_alt_contig09318
AT5G27470,S_alt_contig09319_RC
AT1G16180,S_alt_contig09330
AT1G19835,S_alt_contig09331_RC
AT5G54160,S_5sp_contig24214
AT3G01280,S_alt_contig09346
AT5G15490,S_alt_contig09371
AT3G10090,S_alt_contig09379_RC
AT5G20410,S_alt_contig09381
AT5G20410,S_alt_contig09382
AT5G26180,S_5sp_contig24322
AT3G16640,S_alt_contig09415
AT1G55325,S_alt_contig09442
AT1G24360,S_alt_contig09448
AT4G19140,S_alt_contig09450
AT3G09560,S_alt_contig09453
AT1G14620,S_alt_contig09467_RC
AT2G04940,S_5sp_contig24375
AT4G33905,S_5sp_contig24395_RC
AT3G22480,S_alt_contig09525_RC
AT5G35730,S_alt_contig09527
AT1G10270,S_alt_contig09538_RC
AT1G16560,S_alt_contig09542
AT1G51745,S_alt_contig09545_RC
AT5G10730,S_alt_contig09568_RC
NA,S_alt_contig09570_NB
AT3G05880,S_alt_contig09574
AT3G08710,S_alt_contig09579
AT5G61970,S_alt_contig09581_RC
AT5G49880,S_alt_contig09583_RC
AT1G12770,S_alt_contig09593
AT4G08580,S_5sp_contig24468_RC
NA,S_alt_contig09608_NB
AT4G35260,S_alt_contig09611_RC
AT4G26000,S_alt_contig09622_RC
AT2G41880,S_alt_contig09629
AT4G29060,S_alt_contig09643
AT3G16940,S_alt_contig09644_RC
AT3G14770,S_5sp_contig24512
AT1G53050,S_alt_contig09660
AT3G15380,S_alt_contig09662_RC
AT2G33500,S_alt_contig09670
NA,S_alt_contig09673_NB
AT4G19860,S_alt_contig09680
AT3G13920,S_alt_contig09687
AT2G43750,S_alt_contig09688
AT2G37840,S_alt_contig09689
NA,S_alt_contig09690_NB
AT1G24330,S_alt_contig09695_RC
AT1G27460,S_alt_contig09697_RC
AT1G29370,S_alt_contig09701_RC
AT2G30880,S_alt_contig09704
AT2G03530,S_alt_contig09711
AT1G55860,S_alt_contig09720
AT5G14610,S_alt_contig09725_RC
AT2G33860,S_alt_contig09736
AT5G42870,S_alt_contig09752
AT3G43600,S_alt_contig09756
AT1G03080,S_alt_contig09757
AT5G60360,S_alt_contig09761
AT5G60540,S_alt_contig09764
AT2G46550,S_alt_contig09780
AT3G47640,S_alt_contig09791
AT5G22350,S_alt_contig09792
AT2G23940,S_alt_contig09793_RC
AT5G01320,S_alt_contig09800
AT4G23160,S_alt_contig09807_RC
AT5G18750,S_alt_contig09812
AT1G64520,S_alt_contig09822
AT5G30510,S_alt_contig09831
AT2G38650,S_5sp_contig24599_RC
AT2G40950,S_alt_contig09851
AT5G19330,S_alt_contig09861_RC
AT2G35780,S_alt_contig09862
NA,S_alt_contig09869_NB
AT5G56850,S_alt_contig09872
AT4G02600,S_alt_contig09887_RC
AT2G36460,S_alt_contig09901
AT3G42790,S_alt_contig09903_RC
AT5G14780,S_alt_contig09910
AT5G59240,S_alt_contig09913
NA,S_alt_contig09915_NB
AT1G51980,S_alt_contig09920_RC
AT5G46340,S_alt_contig09924
AT5G61500,S_5sp_contig24641
NA,S_alt_contig09940_RC
AT2G36960,S_alt_contig09949_RC
AT5G19400,S_alt_contig09955_RC
AT1G50410,S_alt_contig09958_RC
AT1G13980,S_alt_contig09962_RC
AT5G12840,S_alt_contig09964
AT2G27730,S_alt_contig09976_RC
AT4G26500,S_5sp_contig24695
AT1G65930,S_alt_contig09992
AT5G23250,S_alt_contig09996
AT1G10630,S_alt_contig09999_RC
AT4G24940,S_alt_contig10011
AT3G47550,S_alt_contig10012_RC
