"","Spartina","Weisman","Dumas"
"276",1,NA,NA
"277",1,NA,NA
"278",1,NA,NA
"279",1,NA,NA
"280",1,NA,NA
"281",1,NA,NA
"282",1,NA,NA
"283",1,NA,NA
"284",1,NA,NA
"285",1,NA,NA
"286",1,NA,NA
"287",1,NA,NA
"288",1,NA,NA
"289",1,NA,NA
"290",1,NA,NA
"291",1,NA,NA
"292",1,NA,NA
"293",1,NA,NA
"294",1,NA,NA
"295",1,NA,NA
"296",1,NA,NA
"297",1,NA,NA
"298",1,1,NA
"299",1,NA,NA
"300",1,1,NA
"301",1,NA,NA
"302",1,NA,NA
"303",1,1,NA
"304",1,1,NA
"305",1,NA,NA
"306",1,NA,NA
"307",1,NA,NA
"308",1,NA,NA
"309",1,NA,NA
"310",1,NA,NA
"311",1,NA,NA
"312",1,NA,NA
"313",1,NA,NA
"314",1,NA,NA
"315",1,NA,NA
"316",1,NA,NA
"317",1,NA,NA
"318",1,NA,NA
"319",1,NA,NA
"320",1,NA,NA
"321",1,NA,NA
"322",1,NA,NA
"323",1,NA,NA
"324",1,NA,NA
"325",1,NA,NA
"326",1,NA,NA
"327",1,NA,NA
"328",1,NA,NA
"329",1,NA,NA
"330",1,NA,NA
"331",1,NA,NA
"332",1,NA,NA
"333",1,NA,NA
"334",1,NA,NA
"335",1,NA,NA
"336",1,1,NA
"337",1,NA,NA
"338",1,NA,NA
"339",1,NA,NA
"340",1,NA,NA
"341",1,NA,NA
"342",1,NA,NA
"343",1,NA,NA
"344",1,NA,NA
"345",1,NA,NA
"346",1,NA,NA
"347",1,NA,NA
"348",1,NA,NA
"349",1,NA,NA
"350",1,NA,NA
"351",1,1,NA
"352",1,NA,NA
"353",1,NA,NA
"354",1,1,NA
"355",1,NA,NA
"356",1,NA,NA
"357",1,NA,NA
"358",1,NA,NA
"359",1,NA,NA
"360",1,1,NA
"361",1,NA,NA
"362",1,NA,NA
"363",1,NA,NA
"364",1,NA,NA
"365",1,NA,NA
"366",1,NA,NA
"367",1,NA,NA
"368",1,NA,NA
"369",1,NA,NA
"370",1,NA,NA
"371",1,NA,NA
"372",1,NA,NA
"373",1,NA,NA
"374",1,NA,NA
"375",1,NA,NA
"376",1,NA,NA
"377",1,NA,NA
"378",1,NA,NA
"379",1,NA,NA
"380",1,1,NA
"381",1,NA,NA
"382",1,NA,NA
"383",1,NA,NA
"384",1,NA,NA
"385",1,NA,NA
"386",1,NA,1
"387",1,NA,NA
"388",1,NA,NA
"389",1,NA,NA
"390",1,NA,NA
"391",1,NA,NA
"392",1,1,NA
"393",1,NA,NA
"394",1,NA,NA
"395",1,NA,NA
"396",1,NA,NA
"397",1,1,NA
"398",1,1,NA
"399",1,NA,NA
"400",1,NA,NA
"401",1,NA,NA
"402",1,1,NA
"403",1,NA,NA
"404",1,NA,NA
"405",1,NA,NA
"406",1,NA,NA
"407",1,NA,NA
"408",1,NA,NA
"409",1,NA,NA
"410",1,NA,NA
"411",1,NA,NA
"412",1,1,NA
"413",1,NA,NA
"414",1,NA,NA
"415",1,NA,NA
"416",1,NA,NA
"417",1,NA,NA
"418",1,NA,NA
"419",1,1,NA
"420",1,NA,NA
"421",1,NA,NA
"422",1,NA,NA
"423",1,NA,NA
"424",1,NA,NA
"425",1,NA,NA
"426",1,NA,NA
"427",1,NA,NA
"428",1,NA,NA
"429",1,NA,NA
"430",1,NA,NA
"431",1,NA,NA
"432",1,1,NA
"433",1,NA,NA
"434",1,NA,NA
"435",1,NA,NA
"436",1,NA,NA
"437",1,NA,NA
"438",1,NA,NA
"439",1,NA,NA
"440",1,NA,NA
"441",1,NA,NA
"442",1,NA,NA
"443",1,NA,NA
"444",1,NA,NA
"445",1,NA,NA
"446",1,NA,NA
"447",1,1,NA
"448",1,1,NA
"449",1,NA,NA
"450",1,NA,NA
"451",1,NA,NA
"452",1,NA,NA
"453",1,NA,NA
"454",1,NA,NA
"455",1,NA,NA
"456",1,NA,NA
"457",1,NA,NA
"458",1,NA,NA
"459",1,1,NA
"460",1,NA,NA
"461",1,NA,NA
"462",1,NA,NA
"463",1,NA,NA
"464",1,NA,NA
"465",1,NA,NA
"466",1,NA,NA
"467",1,1,NA
"468",1,NA,NA
"469",1,1,NA
"470",1,NA,NA
"471",1,NA,NA
"472",1,NA,NA
"473",1,NA,NA
"474",1,NA,NA
"475",1,NA,NA
"476",1,NA,NA
"477",1,NA,NA
"478",1,NA,NA
"479",1,NA,NA
"480",1,NA,NA
"481",1,NA,NA
"482",1,NA,NA
"483",1,NA,NA
"484",1,1,NA
"485",1,NA,NA
"486",1,NA,NA
"487",1,NA,NA
"488",1,NA,NA
"489",1,NA,NA
"490",1,NA,NA
"491",1,NA,NA
"492",1,NA,NA
"493",1,NA,NA
"494",1,NA,NA
"495",1,NA,NA
"496",1,NA,NA
"497",1,NA,NA
"498",1,NA,NA
"499",1,NA,NA
"500",1,NA,NA
"501",1,NA,NA
"502",1,NA,NA
"503",1,NA,NA
"504",1,NA,NA
"505",1,NA,NA
"506",1,NA,NA
"507",1,NA,NA
"508",1,NA,NA
"509",1,NA,NA
"510",1,NA,NA
"511",1,NA,NA
"512",1,NA,NA
"513",1,NA,NA
"514",1,NA,NA
"515",1,1,NA
"516",1,NA,NA
"517",1,NA,NA
"518",1,NA,NA
"519",1,NA,NA
"520",1,NA,NA
"521",1,NA,NA
"522",1,NA,NA
"523",1,NA,NA
"524",1,NA,NA
"525",1,NA,NA
"526",1,NA,NA
"527",1,1,NA
"528",1,NA,NA
"529",1,NA,NA
"530",1,1,NA
"531",1,NA,NA
"532",1,NA,NA
"533",1,1,NA
"534",1,NA,NA
"535",1,NA,NA
"536",1,NA,NA
"537",1,NA,NA
"538",1,NA,NA
"539",1,NA,NA
"540",1,NA,NA
"541",1,NA,NA
"542",1,NA,NA
"543",1,NA,NA
"544",1,NA,NA
"545",1,NA,NA
"546",1,NA,NA
"547",1,NA,NA
"548",1,NA,NA
"549",1,NA,NA
"550",1,NA,NA
"551",1,NA,NA
"552",1,NA,NA
"553",1,NA,NA
"554",1,NA,NA
"555",1,NA,NA
"556",1,NA,NA
"557",1,NA,NA
"558",1,NA,NA
"559",1,NA,NA
"560",1,NA,NA
"561",1,NA,NA
"562",1,NA,NA
"563",1,NA,NA
"564",1,1,NA
"565",1,NA,NA
"566",1,NA,NA
"567",1,NA,NA
"568",1,NA,NA
"569",1,NA,NA
"570",1,NA,NA
"571",1,NA,NA
"572",1,1,NA
"573",1,NA,NA
"574",1,NA,NA
"575",1,NA,NA
"576",1,NA,NA
"577",1,NA,NA
"578",1,NA,NA
"579",1,NA,NA
"580",1,NA,NA
"581",1,NA,NA
"582",1,NA,NA
"583",1,NA,NA
"584",1,1,NA
"585",1,NA,NA
"586",1,NA,NA
"587",1,NA,NA
"588",1,NA,NA
"589",1,NA,NA
"590",1,1,NA
"591",1,NA,NA
"592",1,NA,NA
"593",1,NA,NA
"594",1,NA,NA
"595",1,NA,NA
"596",1,NA,NA
"597",1,1,NA
"598",1,NA,NA
"599",1,NA,NA
"600",1,NA,NA
"601",1,NA,NA
"602",1,NA,NA
"603",1,NA,NA
"604",1,NA,NA
"605",1,1,NA
"606",1,NA,NA
"607",1,NA,NA
"608",1,NA,NA
"609",1,NA,NA
"610",1,NA,NA
"611",1,NA,NA
"612",1,NA,NA
"613",1,1,NA
"614",1,NA,NA
"615",1,NA,NA
"616",1,NA,NA
"617",1,NA,NA
"618",1,NA,NA
"619",1,NA,NA
"620",1,NA,NA
"621",1,NA,NA
"622",1,NA,NA
"623",1,NA,NA
"624",1,NA,NA
"625",1,NA,NA
"626",1,NA,NA
"627",1,NA,NA
"628",1,NA,NA
"629",1,NA,NA
"630",1,NA,NA
"631",1,NA,NA
"632",1,NA,NA
"633",1,NA,NA
"634",1,NA,NA
"635",1,NA,NA
"636",1,NA,NA
"637",1,NA,NA
"638",1,NA,NA
"639",1,NA,NA
"640",1,NA,NA
"641",1,NA,NA
"642",1,NA,NA
"643",1,NA,NA
"644",1,NA,NA
"645",1,NA,NA
"646",1,NA,NA
"647",1,NA,NA
"648",1,NA,NA
"649",1,NA,NA
"650",1,NA,NA
"651",1,NA,NA
"652",1,NA,NA
"653",1,NA,NA
"654",1,NA,NA
"655",1,NA,NA
"656",1,NA,NA
"657",1,NA,NA
"658",1,NA,NA
"659",1,NA,NA
"660",1,NA,NA
"661",1,NA,NA
"662",1,1,NA
"663",1,NA,NA
"664",1,1,NA
"665",1,NA,NA
"666",1,1,NA
"667",1,NA,NA
"668",1,NA,NA
"669",1,NA,NA
"670",1,NA,NA
"671",1,1,NA
"672",1,NA,NA
"673",1,1,NA
"674",1,NA,NA
"675",1,NA,NA
"676",1,NA,NA
"677",1,NA,NA
"678",1,NA,NA
"679",1,NA,NA
"680",1,NA,NA
"681",1,NA,NA
"682",1,NA,NA
"683",1,NA,NA
"684",1,NA,NA
"685",1,NA,NA
"686",1,NA,NA
"687",1,NA,NA
"688",1,NA,NA
"689",1,NA,NA
"690",1,NA,NA
"691",1,NA,NA
"692",1,NA,NA
"693",1,NA,NA
"694",1,1,NA
"695",1,NA,NA
"696",1,NA,NA
"697",1,NA,NA
"698",1,NA,NA
"699",1,NA,NA
"700",1,NA,NA
"701",1,NA,NA
"702",1,NA,NA
"703",1,NA,NA
"704",1,NA,NA
"705",1,NA,NA
"706",1,NA,NA
"707",1,1,NA
"708",1,NA,NA
"709",1,NA,NA
"710",1,NA,NA
"711",1,NA,NA
"712",1,NA,NA
"713",1,NA,NA
"714",1,NA,NA
"715",1,NA,NA
"716",1,1,NA
"717",1,NA,NA
"718",1,NA,NA
"719",1,1,NA
"720",1,NA,NA
"721",1,NA,NA
"722",1,NA,NA
"723",1,NA,NA
"724",1,NA,NA
"725",1,1,NA
"726",1,NA,NA
"727",1,NA,NA
"728",1,NA,NA
"729",1,NA,NA
"730",1,NA,NA
"731",1,NA,NA
"732",1,NA,NA
"733",1,NA,NA
"734",1,NA,NA
"735",1,NA,NA
"736",1,NA,NA
"737",1,1,NA
"738",1,NA,NA
"739",1,NA,NA
"740",1,NA,NA
"741",1,NA,NA
"742",1,NA,NA
"743",1,NA,NA
"744",1,NA,NA
"745",1,NA,NA
"746",1,1,NA
"747",1,NA,NA
"748",1,NA,NA
"749",1,NA,NA
"750",1,NA,NA
"751",1,NA,NA
"752",1,NA,NA
"753",1,NA,NA
"754",1,NA,NA
"755",1,NA,NA
"756",1,NA,NA
"757",1,NA,NA
"758",1,NA,NA
"759",1,NA,NA
"760",1,NA,NA
"761",1,NA,NA
"762",1,NA,NA
"763",1,1,NA
"764",1,NA,NA
"765",1,NA,NA
"766",1,NA,NA
"767",1,NA,NA
"768",1,NA,NA
"769",1,NA,NA
"770",1,NA,NA
"771",1,NA,NA
"772",1,NA,NA
"773",1,NA,NA
"774",1,NA,NA
"775",1,NA,NA
"776",1,NA,NA
"777",1,NA,NA
"778",1,NA,NA
"779",1,NA,NA
"780",1,NA,NA
"781",1,NA,NA
"782",1,NA,NA
"783",1,NA,NA
"784",1,NA,NA
"785",1,NA,NA
"786",1,NA,NA
"787",1,NA,NA
"788",1,NA,NA
"789",1,NA,NA
"790",1,1,NA
"791",1,NA,NA
"792",1,NA,NA
"793",1,NA,NA
"794",1,NA,NA
"795",1,NA,NA
"796",1,NA,NA
"797",1,NA,NA
"798",1,NA,NA
"799",1,NA,NA
"800",1,NA,NA
"801",1,NA,NA
"802",1,NA,NA
"803",1,NA,NA
"804",1,NA,NA
"805",1,NA,NA
"806",1,NA,NA
"807",1,NA,NA
"808",1,NA,NA
"809",1,NA,NA
"810",1,NA,NA
"811",1,NA,NA
"812",1,NA,NA
"813",1,NA,NA
"814",1,NA,NA
"815",1,NA,NA
"816",1,NA,NA
"817",1,NA,NA
"818",1,NA,NA
"819",1,NA,NA
"820",1,NA,NA
"821",1,NA,NA
"822",1,NA,NA
"823",1,NA,NA
"824",1,NA,NA
"825",1,NA,NA
"826",1,NA,NA
"827",1,NA,NA
"828",1,1,NA
"829",1,1,NA
"830",1,NA,NA
"831",1,NA,NA
"832",1,NA,NA
"833",1,NA,NA
"834",1,NA,NA
"835",1,NA,NA
"836",1,NA,NA
"837",1,NA,NA
"838",1,NA,NA
"839",1,NA,NA
"840",1,1,NA
"841",1,NA,NA
"842",1,NA,NA
"843",1,NA,NA
"844",1,1,NA
"845",1,NA,NA
"846",1,NA,NA
"847",1,NA,NA
"848",1,NA,NA
"849",1,NA,NA
"850",1,NA,NA
"851",1,NA,NA
"852",1,1,NA
"853",1,NA,NA
"854",1,NA,NA
"855",1,NA,NA
"856",1,NA,NA
"857",1,NA,NA
"858",1,NA,NA
"859",1,NA,NA
"860",1,NA,NA
"861",1,NA,NA
"862",1,NA,NA
"863",1,NA,NA
"864",1,NA,NA
"865",1,NA,NA
"866",1,NA,NA
"867",1,NA,NA
"868",1,1,NA
"869",1,NA,NA
"870",1,NA,NA
"871",1,NA,NA
"872",1,NA,NA
"873",1,NA,NA
"874",1,NA,NA
"875",1,NA,NA
"876",1,NA,NA
"877",1,NA,NA
"878",1,NA,NA
"879",1,NA,NA
"880",1,NA,NA
"881",1,1,NA
"882",1,NA,NA
"883",1,NA,NA
"884",1,NA,NA
"885",1,NA,NA
"886",1,NA,NA
"887",1,NA,NA
"888",1,NA,NA
"889",1,NA,NA
"890",1,NA,NA
"891",1,NA,NA
"892",1,NA,NA
"893",1,NA,NA
"894",1,1,NA
"895",1,NA,NA
"896",1,NA,NA
"897",1,NA,NA
"898",1,NA,NA
"899",1,NA,NA
"900",1,NA,NA
"901",1,NA,NA
"902",1,NA,NA
"903",1,NA,NA
"904",1,NA,NA
"905",1,NA,NA
"906",1,NA,NA
"907",1,NA,NA
"908",1,NA,NA
"909",1,NA,NA
"910",1,NA,NA
"911",1,NA,NA
"912",1,NA,NA
"913",1,NA,NA
"914",1,NA,NA
"915",1,NA,NA
"916",1,NA,NA
"917",1,NA,NA
"918",1,NA,NA
"919",1,NA,NA
"920",1,NA,NA
"921",1,NA,NA
"922",1,NA,NA
"923",1,NA,NA
"924",1,NA,NA
"925",1,NA,NA
"926",1,NA,NA
"927",1,NA,NA
"928",1,NA,NA
"929",1,NA,NA
"930",1,NA,NA
"931",1,NA,NA
"932",1,NA,NA
"933",1,NA,NA
"934",1,NA,NA
"935",1,NA,NA
"936",1,NA,NA
"937",1,NA,NA
"938",1,NA,NA
"939",1,NA,NA
"940",1,NA,NA
"941",1,NA,NA
"942",1,NA,NA
"943",1,NA,NA
"944",1,NA,NA
"945",1,NA,NA
"946",1,NA,NA
"947",1,NA,NA
"948",1,NA,NA
"949",1,NA,NA
"950",1,NA,NA
"951",1,NA,NA
"952",1,NA,NA
"953",1,NA,NA
"954",1,NA,NA
"955",1,NA,NA
"956",1,NA,NA
"957",1,NA,NA
"958",1,NA,NA
"959",1,NA,NA
"960",1,NA,NA
"961",1,NA,NA
"962",1,NA,NA
"963",1,NA,NA
"964",1,NA,NA
"965",1,NA,NA
"966",1,NA,NA
"967",1,NA,NA
"968",1,NA,NA
"969",1,NA,NA
"970",1,NA,NA
"971",1,NA,NA
"972",1,NA,NA
"973",1,NA,NA
"974",1,NA,NA
"975",1,NA,NA
"976",1,NA,NA
"977",1,NA,NA
"978",1,NA,NA
"979",1,NA,NA
"980",1,1,NA
"981",1,NA,NA
"982",1,NA,NA
"983",1,NA,NA
"984",1,NA,NA
"985",1,NA,NA
"986",1,NA,NA
"987",1,NA,NA
"988",1,NA,NA
"989",1,NA,NA
"990",1,NA,NA
"991",1,NA,NA
"992",1,NA,NA
"993",1,NA,NA
"994",1,NA,NA
"995",1,NA,NA
"996",1,NA,NA
"997",1,NA,NA
"998",1,NA,NA
"999",1,NA,NA
"1000",1,NA,NA
"1001",1,NA,NA
"1002",1,1,NA
"1003",1,NA,NA
"1004",1,NA,NA
"1005",1,NA,NA
"1006",1,NA,NA
"1007",1,NA,NA
"1008",1,NA,NA
"1009",1,NA,NA
"1010",1,NA,NA
"1011",1,NA,NA
"1012",1,NA,NA
"1013",1,NA,NA
"1014",1,NA,NA
"1015",1,NA,NA
"1016",1,NA,NA
"1017",1,NA,NA
"1018",1,NA,NA
"1019",1,NA,NA
"1020",1,NA,NA
"1021",1,NA,NA
"1022",1,NA,NA
"1023",1,NA,NA
"1024",1,NA,NA
"1025",1,NA,NA
"1026",1,NA,NA
"1027",1,NA,NA
"1028",1,1,NA
"1029",1,NA,NA
"1030",1,NA,NA
"1031",1,1,NA
"1032",1,NA,NA
"1033",1,NA,NA
"1034",1,NA,NA
"1035",1,NA,NA
"1036",1,NA,NA
"1037",1,NA,NA
"1038",1,NA,NA
"1039",1,NA,NA
"1040",1,NA,NA
"1041",1,NA,NA
"1042",1,NA,NA
"1043",1,NA,NA
"1044",1,NA,NA
"1045",1,NA,NA
"1046",1,NA,NA
"1047",1,NA,NA
"1048",1,NA,NA
"1049",1,NA,NA
"1050",1,NA,NA
"1051",1,NA,NA
"1052",1,NA,NA
"1053",1,NA,NA
"1054",1,NA,NA
"1055",1,NA,NA
"1056",1,NA,NA
"1057",1,NA,NA
"1058",1,NA,NA
"1059",1,NA,NA
"1060",1,NA,NA
"1061",1,NA,NA
"1062",1,NA,NA
"1063",1,NA,NA
"1064",1,NA,NA
"1065",1,NA,NA
"1066",1,NA,NA
"1067",1,NA,NA
"1068",1,NA,NA
"1069",1,NA,NA
"1070",1,NA,NA
"1071",1,1,NA
"1072",1,NA,NA
"1073",1,NA,NA
"1074",1,NA,NA
"1075",1,NA,NA
"1076",1,NA,NA
"1077",1,NA,NA
"1078",1,NA,NA
"1079",1,NA,NA
"1080",1,NA,NA
"1081",1,NA,NA
"1082",1,NA,NA
"1083",1,NA,NA
"1084",1,NA,NA
"1085",1,NA,NA
"1086",1,1,NA
"1087",1,NA,NA
"1088",1,NA,NA
"1089",1,NA,NA
"1090",1,NA,NA
"1091",1,NA,NA
"1092",1,NA,NA
"1093",1,NA,NA
"1094",1,NA,NA
"1095",1,NA,NA
"1096",1,NA,NA
"1097",1,NA,NA
"1098",1,NA,NA
"1099",1,NA,NA
"1100",1,NA,NA
"1101",1,NA,NA
"1102",1,NA,NA
"1103",1,NA,NA
"1104",1,1,NA
"1105",1,NA,NA
"1106",1,NA,NA
"1107",1,NA,NA
"1108",1,NA,NA
"1109",1,NA,NA
"1110",1,NA,NA
"1111",1,NA,NA
"1112",1,NA,NA
"1113",1,NA,NA
"1114",1,NA,NA
"1115",1,NA,NA
"1116",1,NA,NA
"1117",1,NA,NA
"1118",1,NA,NA
"1119",1,NA,NA
"1120",1,NA,NA
"1121",1,NA,NA
"1122",1,1,NA
"1123",1,NA,NA
"1124",1,NA,NA
"1125",1,1,NA
"1126",1,NA,NA
"1127",1,NA,NA
"1128",1,NA,NA
"1129",1,NA,NA
"1130",1,NA,NA
"1131",1,NA,NA
"1132",1,1,NA
"1133",1,NA,NA
"1134",1,NA,NA
"1135",1,1,NA
"1136",1,NA,NA
"1137",1,NA,NA
"1138",1,NA,NA
"1139",1,NA,NA
"1140",1,NA,NA
"1141",1,NA,NA
"1142",1,NA,NA
"1143",1,NA,NA
"1144",1,NA,NA
"1145",1,NA,NA
"1146",1,NA,NA
"1147",1,NA,NA
"1148",1,NA,NA
"1149",1,NA,NA
"1150",1,NA,NA
"1151",1,NA,NA
"1152",1,NA,NA
"1153",1,NA,NA
"1154",1,NA,NA
"1155",1,NA,NA
"1156",1,NA,NA
"1157",1,NA,NA
"1158",1,NA,NA
"1159",1,NA,NA
"1160",1,NA,NA
"1161",1,NA,NA
"1162",1,NA,NA
"1163",1,NA,NA
"1164",1,NA,NA
"1165",1,NA,NA
"1166",1,NA,NA
"1167",1,NA,NA
"1168",1,NA,NA
"1169",1,NA,NA
"1170",1,NA,NA
"1171",1,NA,NA
"1172",1,NA,NA
"1173",1,NA,NA
"1174",1,NA,NA
"1175",1,NA,NA
"1176",1,NA,NA
"1177",1,NA,NA
"1178",1,NA,NA
"1179",1,NA,NA
"1180",1,NA,NA
"1181",1,NA,NA
"1182",1,NA,NA
"1183",1,NA,NA
"1184",1,NA,NA
"1185",1,NA,NA
"1186",1,NA,NA
"1187",1,NA,NA
"1188",1,NA,NA
"1189",1,NA,NA
"1190",1,NA,NA
"1191",1,NA,NA
"1192",1,NA,NA
"1193",1,1,NA
"1194",1,NA,NA
"1195",1,NA,NA
"1196",1,NA,NA
"1197",1,NA,NA
"1198",1,NA,NA
"1199",1,NA,NA
"1200",1,NA,NA
"1201",1,NA,NA
"1202",1,NA,NA
"1203",1,NA,NA
"1204",1,1,NA
"1205",1,NA,NA
"1206",1,1,NA
"1207",1,NA,NA
"1208",1,NA,NA
"1209",1,NA,NA
"1210",1,1,NA
"1211",1,NA,NA
"1212",1,NA,NA
"1213",1,NA,NA
"1214",1,1,NA
"1215",1,NA,NA
"1216",1,NA,NA
"1217",1,NA,NA
"1218",1,NA,NA
"1219",1,NA,NA
"1220",1,NA,NA
"1221",1,NA,NA
"1222",1,NA,NA
"1223",1,NA,NA
"1224",1,1,NA
"1225",1,NA,NA
"1226",1,NA,NA
"1227",1,NA,NA
"1228",1,NA,NA
"1229",1,NA,NA
"1230",1,NA,NA
"1231",1,NA,NA
"1232",1,NA,NA
"1233",1,NA,NA
"1234",1,NA,NA
"1235",1,NA,NA
"1236",1,NA,NA
"1237",1,NA,NA
"1238",1,NA,NA
"1239",1,NA,NA
"1240",1,NA,NA
"1241",1,NA,NA
"1242",1,1,NA
"1243",1,NA,NA
"1244",1,NA,NA
"1245",1,NA,NA
"1246",1,NA,NA
"1247",1,NA,NA
"1248",1,NA,NA
"1249",1,NA,NA
"1250",1,NA,NA
"1251",1,NA,NA
"1252",1,NA,NA
"1253",1,NA,NA
"1254",1,NA,NA
