"probe","AGI","symbol","log2ratio","eBayes.p.value","annot"
"245175_at","AT2G47470","ATPDI11, ATPDIL2-1, MEE30, PDI11, UNE5",1.11127216709467,0.000679703052613022,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily., Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily., Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily., Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily., Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily."
"245193_at","AT1G67810","SUFE2",2.06986879697761,0.000145891398751641,"Fe-S metabolism associated domain-containing protein; similar to QS (QUINOLINATE SYNTHASE), quinolinate synthetase A [Arabidopsis thaliana] (TAIR:AT5G50210.1); similar to Os12g0290300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001066600.1); similar to hypothetical protein tll1089 [Thermosynechococcus elongatus BP-1] (GB:NP_681880.1); similar to Os09g0270900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062734.1); contains InterPro domain Fe-S metabolism associated SufE; (InterPro:IPR003808)"
"245195_at","AT1G67740","PSBY, YCF32",-2.03163603570865,2.99913873245815e-06,"PsbY precursor (psbY) mRNA. This single nuclear gene is imported into the chloroplasts where it is processed into two integral membrane proteins with identical topology (PsbY-1 and PsbY-2). The protein appears to bind manganese but its role is not well understood., PsbY precursor (psbY) mRNA. This single nuclear gene is imported into the chloroplasts where it is processed into two integral membrane proteins with identical topology (PsbY-1 and PsbY-2). The protein appears to bind manganese but its role is not well understood."
"245198_at","AT1G67700","",-1.16528281957545,0.000125783852891558,"similar to At1g67700/F12A21_30 [Medicago truncatula] (GB:ABE84614.1); contains domain OLIGOPEPTIDASE (PTHR11804:SF2); contains domain PROTEASE M3 THIMET OLIGOPEPTIDASE-RELATED (PTHR11804)"
"245242_at","AT1G44446","ATCAO, CAO, CH1",-1.25244506908138,0.000175657019354007,"Encodes chlorophyllide <i>a</i> oxygenase which converts chlorophyllide <i>a</i> to chlorophyllide <i>b</i> by catalyzing two successive hydroxylations at the 7-methyl group of chlorophyllide <i>a</i> .  Mutants are deficient in pigments that associate with thylakoid membrane proteins, lacking chlorophyll <i>b</i> and light-harvesting proteins of photosystem II. The protein was shown through cross-linking experiments to interact with Toc75, Toc34, Tic40, Tic20 and Tic22., Encodes chlorophyllide <i>a</i> oxygenase which converts chlorophyllide <i>a</i> to chlorophyllide <i>b</i> by catalyzing two successive hydroxylations at the 7-methyl group of chlorophyllide <i>a</i> .  Mutants are deficient in pigments that associate with thylakoid membrane proteins, lacking chlorophyll <i>b</i> and light-harvesting proteins of photosystem II. The protein was shown through cross-linking experiments to interact with Toc75, Toc34, Tic40, Tic20 and Tic22., Encodes chlorophyllide <i>a</i> oxygenase which converts chlorophyllide <i>a</i> to chlorophyllide <i>b</i> by catalyzing two successive hydroxylations at the 7-methyl group of chlorophyllide <i>a</i> .  Mutants are deficient in pigments that associate with thylakoid membrane proteins, lacking chlorophyll <i>b</i> and light-harvesting proteins of photosystem II. The protein was shown through cross-linking experiments to interact with Toc75, Toc34, Tic40, Tic20 and Tic22."
"245291_at","AT4G16155","",-1.37533728480488,3.81758157662302e-05,"dihydrolipoamide dehydrogenase 2, plastidic / lipoamide dehydrogenase 2 (PTLPD2); similar to LPD1 (LIPOAMIDE DEHYDROGENASE 1) [Arabidopsis thaliana] (TAIR:AT3G16950.1); similar to Pyridine nucleotide-disulphide oxidoreductase, class I [Medicago truncatula] (GB:ABD32316.1); similar to Pyridine nucleotide-disulphide oxidoreductase, class I [Medicago truncatula] (GB:ABE83195.1); similar to Pyridine nucleotide-disulphide oxidoreductase (ISS) [Ostreococcus tauri] (GB:CAL51905.1); contains InterPro domain Dihydrolipoamide dehydrogenase; (InterPro:IPR006258); contains InterPro domain Pyridine nucleotide-disulphide oxidoreductase, class I; (InterPro:IPR001100); contains InterPro domain Pyridine nucleotide-disulphide oxidoreductase, NAD-binding region; (InterPro:IPR001327); contains InterPro domain Mercuric reductase; (InterPro:IPR000815); contains InterPro domain Pyridine nucleotide-disulphide oxidoreductase, class I, active site; (InterPro:IPR012999); contains InterPro domain Pyridine nucleotide-disulphide oxidoreductase dimerisation region; (InterPro:IPR004099); contains InterPro domain FAD-dependent pyridine nucleotide-disulphide oxidoreductase; (InterPro:IPR013027)"
"245293_at","AT4G16660","",1.30104156206164,0.0014513295277926,"heat shock protein 70, putative / HSP70, putative; similar to heat shock protein, putative [Arabidopsis thaliana] (TAIR:AT1G11660.1); similar to PREDICTED: similar to CG2918-PA [Tribolium castaneum] (GB:XP_973490.1); similar to Os02g0710900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047898.1); contains InterPro domain Heat shock protein Hsp70; (InterPro:IPR001023); contains InterPro domain Heat shock protein 70; (InterPro:IPR013126)"
"245296_at","AT4G16370","ATOPT3, OPT3",1.65766441119896,0.000688171069736946,"oligopeptide transporter, oligopeptide transporter"
"245305_at","AT4G17215","",1.15469018171765,0.0156942104919302,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G47635.1); similar to hypothetical protein 40.t00006 [Brassica oleracea] (GB:ABD65131.1)"
"245317_at","AT4G15610","",1.03598659360057,0.000417539490596122,"integral membrane family protein; similar to integral membrane family protein [Arabidopsis thaliana] (TAIR:AT3G06390.1); similar to unknown [Panax (GB:ABD73297.1); similar to Os07g0442900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059526.1); contains InterPro domain Protein of unknown function DUF588; (InterPro:IPR006702); contains InterPro domain Conserved hypothetical protein CHP1569, integral membrane plant; (InterPro:IPR006459)"
"245318_at","AT4G16980","",-3.12402531087988,2.39406533739856e-06,"arabinogalactan-protein family; similar to AGP19/ATAGP19 (ARABINOGALACTAN-PROTEIN 19) [Arabidopsis thaliana] (TAIR:AT1G68725.1); similar to hypothetical protein [Capsella rubella] (GB:CAC82613.1); contains InterPro domain Glutelin; (InterPro:IPR000480)"
"245321_at","AT4G15545","",-1.48822440347990,6.70140088076895e-05,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G16520.1); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAT85086.1); contains InterPro domain DNA topoisomerases I, dispensable insert, eukaryotic-type; (InterPro:IPR009054)"
"245329_at","AT4G14365","",3.08188439176421,2.97481677568491e-05,"zinc finger (C3HC4-type RING finger) family protein / ankyrin repeat family protein; similar to zinc finger (C3HC4-type RING finger) family protein / ankyrin repeat family protein [Arabidopsis thaliana] (TAIR:AT3G23280.1); similar to auxin-regulated protein-like protein [Populus trichocarpa] (GB:ABG37641.1); contains InterPro domain Ankyrin; (InterPro:IPR002110); contains InterPro domain Zinc finger, RING-type; (InterPro:IPR001841)"
"245347_at","AT4G14890","",-1.3128839966053,0.000366435066092732,"ferredoxin family protein; similar to ATFD3 (FERREDOXIN 3), electron carrier [Arabidopsis thaliana] (TAIR:AT2G27510.1); similar to 2Fe-2S ferredoxin, iron-sulfur binding site [Medicago truncatula] (GB:ABE82976.1); contains InterPro domain 2Fe-2S Ferredoxin-like fold; (InterPro:IPR012675); contains InterPro domain Ferredoxin [2Fe-2S], plant; (InterPro:IPR010241); contains InterPro domain Ferredoxin; (InterPro:IPR001041)"
"245354_at","AT4G17600","LIL3:1",-1.46935600127285,0.000108556649260512,"Encodes Lil3:1 (light-harvesting-like) protein.  Belongs to the Lhc super-gene family encodes the light-harvesting chlorophyll a/b-binding (LHC) proteins that constitute the antenna system of the photosynthetic apparatus.  A generic LHC motif is present in Lil3:1."
"245357_at","AT4G17560","",-1.13406897212421,0.000424749312355267,"ribosomal protein L19 family protein; Identical to 50S ribosomal protein L19-1, chloroplast precursor [Arabidopsis Thaliana] (GB:Q8W463;GB:O23597); similar to ribosomal protein L19 family protein [Arabidopsis thaliana] (TAIR:AT5G47190.1); similar to plastid ribosomal protein L19, putative [Brassica oleracea] (GB:ABD65070.1); contains InterPro domain Ribosomal protein L19; (InterPro:IPR001857)"
"245362_at","AT4G17460","HAT1",-2.22794950544128,0.000283969213418604,"Encodes homeobox protein HAT1."
"245388_at","AT4G16410","",-1.20461334330879,0.00168004937989034,"similar to Os07g0607200 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060233.1); contains InterPro domain Protein of unknown function DUF751; (InterPro:IPR008470)"
"245393_at","AT4G16260","",2.65328026123953,0.000174861228219283,"glycosyl hydrolase family 17 protein; similar to BG1 (BETA-1,3-GLUCANASE 1), hydrolase, hydrolyzing O-glycosyl compounds [Arabidopsis thaliana] (TAIR:AT3G57270.1); similar to beta-1,3-glucanase [Hevea brasiliensis] (GB:ABG49448.1); contains InterPro domain Glycoside hydrolase, family 17; (InterPro:IPR000490)"
"245397_at","AT4G14560","AXR5, IAA1",-1.48927273950718,0.00175310949243673,"auxin (indole-3-acetic acid) induced gene (IAA1) encoding a short-lived nuclear-localized transcriptional regulator protein., auxin (indole-3-acetic acid) induced gene (IAA1) encoding a short-lived nuclear-localized transcriptional regulator protein."
"245523_at","AT4G15910","ATDI21, DI21",1.26518578070334,0.000212283391027487,"encodes a gene whose transcript level in root and leaves increases to progressive drought stress. The transcript level is also affected by changes of endogenous or exogenous abscisic acid level. It appears to be a member of plant-specific gene family that includes late embryo-abundant and zinc- IAA-induced proteins in other plants., encodes a gene whose transcript level in root and leaves increases to progressive drought stress. The transcript level is also affected by changes of endogenous or exogenous abscisic acid level. It appears to be a member of plant-specific gene family that includes late embryo-abundant and zinc- IAA-induced proteins in other plants."
"245668_at","AT1G28330","DRM1, DYL1",-1.08472729078945,0.000236414740698262,"dormancy-associated protein (DRM1), dormancy-associated protein (DRM1)"
"245692_at","AT5G04150","BHLH101",4.0212902477837,3.58362402496029e-08,"basic helix-loop-helix (bHLH) family protein; similar to ORG2 (OBP3-responsive gene 2), DNA binding / transcription factor [Arabidopsis thaliana] (TAIR:AT3G56970.1); similar to Helix-loop-helix DNA-binding [Medicago truncatula] (GB:ABE94188.1); contains InterPro domain Helix-loop-helix DNA-binding; (InterPro:IPR011598); contains InterPro domain Basic helix-loop-helix dimerisation region bHLH; (InterPro:IPR001092)"
"245701_at","AT5G04140","GLS1, GLU1, GLUS",-1.86596443062155,1.79622032964161e-05,"Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation., Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation., Encodes a gene whose sequence is similar to ferredoxin dependent glutamate synthase (Fd-GOGAT). Expression in leaves is induced by light and sucrose. Proposed to be involved in photorespiration and nitrogen assimilation."
"245730_at","AT1G73470","",-1.67496776277104,2.03527572118871e-05,"similar to hypothetical protein slr0975 [Synechocystis sp. PCC 6803] (GB:NP_440211.1); similar to Os09g0448900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063318.1)"
"245744_at","AT1G51110","",-1.61287471716208,3.70339921581693e-05,"plastid-lipid associated protein PAP / fibrillin family protein; similar to plastid-lipid associated protein PAP / fibrillin family protein [Arabidopsis thaliana] (TAIR:AT3G26070.1); similar to PAP fibrillin [Medicago truncatula] (GB:ABE81557.1); contains InterPro domain PAP fibrillin; (InterPro:IPR006843)"
"245745_at","AT1G51110","",-1.46091703623079,3.35228964238809e-05,"plastid-lipid associated protein PAP / fibrillin family protein; similar to plastid-lipid associated protein PAP / fibrillin family protein [Arabidopsis thaliana] (TAIR:AT3G26070.1); similar to PAP fibrillin [Medicago truncatula] (GB:ABE81557.1); contains InterPro domain PAP fibrillin; (InterPro:IPR006843)"
"245757_at","AT1G35140","EXL7, PHI-1",-2.07271579123772,0.0176458481137216,"At1g35140 (At1g35140/T32G9_32) mRNA, complete cds, At1g35140 (At1g35140/T32G9_32) mRNA, complete cds"
"245765_at","AT1G33600","",-1.09362146548552,0.00117953552959363,"leucine-rich repeat family protein; similar to disease resistance protein-related / LRR protein-related [Arabidopsis thaliana] (TAIR:AT2G26380.1); similar to disease resistance protein-related / LRR protein-related [Arabidopsis thaliana] (TAIR:AT1G33590.1); similar to H0402C08.6 [Oryza sativa (indica cultivar-group)] (GB:CAJ86230.1); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)"
"245793_at","AT1G32220","",-2.14968787140897,1.20151856915733e-05,"catalytic/ coenzyme binding; similar to catalytic/ coenzyme binding [Arabidopsis thaliana] (TAIR:AT5G10730.1); similar to Os04g0403500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001052699.1); similar to hypothetical protein [Cleome spinosa] (GB:ABD96868.1); similar to Os02g0556100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001047127.1); contains InterPro domain NAD-dependent epimerase/dehydratase; (InterPro:IPR001509)"
"245795_at","AT1G32160","",-1.17650502854002,0.000165219018046812,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G17800.2); similar to unknown protein [Oryza sativa (japonica cultivar-group)] (GB:AAO38836.1); similar to Os03g0717900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051084.1); similar to Os04g0595100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053731.1); contains InterPro domain Protein of unknown function DUF760; (InterPro:IPR008479)"
"245806_at","AT1G45474","LHCA5",-1.47754929792112,0.000332637735525241,"Encodes a component of the light harvesting complex of photosystem I."
"245845_at","AT1G26150","",-1.08780679813994,0.00295235240738066,"protein kinase; similar to protein kinase family protein [Arabidopsis thaliana] (TAIR:AT5G38560.1); similar to protein kinase family protein [Musa balbisiana] (GB:ABF70139.1); similar to Os01g0110500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001041798.1); similar to protein kinase family protein [Musa acuminata] (GB:ABF70054.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Serine/threonine protein kinase, active site; (InterPro:IPR008271)"
"245852_at","AT5G13510","",-1.18343498634075,0.00015622180649604,"ribosomal protein L10 family protein; Identical to 50S ribosomal protein L10, chloroplast precursor (CL10) (RPL10) [Arabidopsis Thaliana] (GB:Q9FY50); similar to ribosomal protein L10 family protein [Arabidopsis thaliana] (TAIR:AT3G12370.1); similar to 50S ribosomal protein L10, chloroplast precursor (CL10) (GB:O80362); contains InterPro domain Ribosomal protein L10; (InterPro:IPR001790)"
"245866_s_at","AT1G57980, AT1G57990","ATPUP18",-1.70942397896533,0.000158716665361302,"purine permease-related; similar to ATPUP18 (Arabidopsis thaliana purine permease 18), purine transporter [Arabidopsis thaliana] (TAIR:AT1G57990.1); similar to putative purine permease [Oryza sativa (japonica cultivar-group)] (GB:BAD07671.1); contains InterPro domain Protein of unknown function DUF250; (InterPro:IPR004853), Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane."
"245951_at","AT5G19550","AAT2, ASP2",1.05798198374358,0.000877084186724083,"Nitrogen metabolism. Major cytosolic isoenzyme controlling aspartate biosynthesis in the light., Nitrogen metabolism. Major cytosolic isoenzyme controlling aspartate biosynthesis in the light."
"245952_at","AT5G28500","",-1.02009662662561,0.000306533369881114,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G04550.1); similar to Os10g0445600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064712.1); similar to hypothetical protein Npun02004305 [Nostoc punctiforme PCC 73102] (GB:ZP_00109308.1)"
"245956_s_at","AT5G28540, AT5G42020","BIP1, BIP, BIP2",1.52874235182193,0.000185608435539779,"luminal binding protein 1 (BiP-1) (BP1); Identical to Luminal-binding protein 2 precursor (BiP2) (AtBP2) [Arabidopsis Thaliana] (GB:Q39043;GB:Q39042); Identical to Luminal-binding protein 1 precursor (BiP1) (AtBP1) [Arabidopsis Thaliana] (GB:Q9LKR3;GB:Q41928); similar to HSP70 (heat shock protein 70), ATP binding [Arabidopsis thaliana] (TAIR:AT3G12580.1); similar to BIP (LUMINAL BINDING PROTEIN), ATP binding [Arabidopsis thaliana] (TAIR:AT5G42020.1); similar to luminal binding protein 3 (BiP-3) (BP3) [Arabidopsis thaliana] (TAIR:AT1G09080.1); similar to Luminal-binding protein 4 precursor (BiP 4) (78 kDa glucose-regulated protein homolog 4) (GRP 78-4) (GB:Q03684); similar to Luminal-binding protein 5 precursor (BiP 5) (78 kDa glucose-regulated protein homolog 5) (GRP 78-5) (GB:Q03685); similar to putative luminal-binding protein [Isatis tinctoria] (GB:AAZ95244.1); contains InterPro domain Heat shock protein Hsp70; (InterPro:IPR001023); contains InterPro domain Endoplasmic reticulum targeting sequence; (InterPro:IPR000886); contains InterPro domain Heat shock protein 70; (InterPro:IPR013126), luminal binding protein (BiP), luminal binding protein (BiP)"
"245976_at","AT5G13080","AtWRKY75, WRKY75",2.47533611161004,3.47346060834932e-06,"member of WRKY Transcription Factor; Group II-c, member of WRKY Transcription Factor; Group II-c"
"245987_at","AT5G13180","ANAC083",1.02284951268026,0.0392684517698922,"ANAC083 (Arabidopsis NAC domain containing protein 83); transcription factor; similar to ANAC041 (Arabidopsis NAC domain containing protein 41), transcription factor [Arabidopsis thaliana] (TAIR:AT2G33480.1); similar to unknown [Solanum lycopersicum] (GB:CAA99760.1); contains InterPro domain No apical meristem (NAM) protein; (InterPro:IPR003441)"
"246004_at","AT5G20630","ATGER3, GER3, GLP3, GLP3A, GLP3B",-1.16364080388893,0.00187302526535312,"Encodes a germin-like protein., Encodes a germin-like protein., Encodes a germin-like protein., Encodes a germin-like protein., Encodes a germin-like protein."
"246007_at","AT5G08410","FTRA2",-1.60841076528706,1.57412089576475e-05,"FTRA2 (ferredoxin/thioredoxin reductase subunit A (variable subunit) 2); ferredoxin:thioredoxin reductase; similar to FTRA1 (ferredoxin/thioredoxin reductase subunit A (variable subunit) 1), ferredoxin:thioredoxin reductase [Arabidopsis thaliana] (TAIR:AT5G23440.1); similar to Os04g0528800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053378.1); similar to ferredoxin-thioredoxin reductase SU A [Spinacia oleracea] (GB:CAA54407.1); similar to OSJNBa0074L08.8 [Oryza sativa (japonica cultivar-group)] (GB:CAD41197.2); contains InterPro domain Ferredoxin thioredoxin reductase, alpha chain; (InterPro:IPR004207); contains InterPro domain Electron transport accessory protein; (InterPro:IPR008990)"
"246011_at","AT5G08330","",-2.42779961676626,0.000514623819146911,"TCP family transcription factor, putative; similar to TCP family transcription factor, putative [Arabidopsis thaliana] (TAIR:AT5G23280.1); similar to unknown [Brassica rapa] (GB:ABB97033.1); contains InterPro domain TCP transcription factor; (InterPro:IPR005333)"
"246018_at","AT5G10695","",1.56975858677730,0.00129455458805535,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G57123.1); similar to conserved hypothetical protein [Medicago truncatula] (GB:ABD28467.1); contains domain Glucocorticoid receptor-like (DNA-binding domain) (SSF57716)"
"246028_at","AT5G21170","",-1.22656696663660,0.00138133988207972,"5'-AMP-activated protein kinase beta-2 subunit, putative; Identical to SNF1-related protein kinase regulatory subunit beta-1 (AKIN beta1) (AKINB1) (KINB1) [Arabidopsis Thaliana] (GB:Q84VQ1;GB:Q9SCY6); similar to 5'-AMP-activated protein kinase beta-2 subunit, putative [Arabidopsis thaliana] (TAIR:AT4G16360.1); similar to AKIN beta1 [Medicago truncatula] (GB:AAO61676.1); contains InterPro domain 5-AMP-activated protein kinase, beta subunit, complex-interacting region; (InterPro:IPR006828), AMP-activated protein kinase; similar to 5'-AMP-activated protein kinase beta-2 subunit, putative [Arabidopsis thaliana] (TAIR:AT4G16360.1); similar to AKIN beta1 [Medicago truncatula] (GB:AAO61676.1); contains InterPro domain 5-AMP-activated protein kinase, beta subunit, complex-interacting region; (InterPro:IPR006828)"
"246033_at","AT5G08280","HEMC",-1.06945210820736,0.00454437970597358,"Encodes a protein with porphobilinogen deaminase activity. This protein is targeted to the chloroplast."
"246042_at","AT5G19440","",1.28764321919202,0.000249237160386969,"similar to Eucalyptus gunnii alcohol dehydrogenase of unknown physiological function (GI:1143445), apple tree, PIR:T16995; NOT a cinnamyl-alcohol dehydrogenase"
"246055_at","AT5G08380","AtAGAL1",1.14111741846437,0.00109947110564106,"ATAGAL1 (ARABIDOPSIS THALIANA ALPHA-GALACTOSIDASE 1); alpha-galactosidase; similar to ATAGAL2 (ARABIDOPSIS THALIANA ALPHA-GALACTOSIDASE 2), alpha-galactosidase [Arabidopsis thaliana] (TAIR:AT5G08370.2); similar to acid alpha galactosidase 1 [Cucumis sativus] (GB:ABC55266.1); similar to alpha-galactosidase 1 [Pisum sativum] (GB:CAF34023.1); similar to alpha-galactosidase [Carica papaya] (GB:AAP04002.1); contains InterPro domain Glycoside hydrolase, family 27; (InterPro:IPR002241); contains InterPro domain Glycoside hydrolase, clan GH-D; (InterPro:IPR000111)"
"246099_at","AT5G20230","ATBCB, BCB",2.30609417592793,0.000905387206200105,"Al-stress-induced gene, Al-stress-induced gene"
