ATnumber,BacterialPathogen,FungalPathogen,Herbivore,Virus,Cold,Heat,Osmotic,UVB,Wound,Drought,Genotoxic,Unannotated
At2g40610,1,0,1,0,1,1,1,1,1,1,1,0
At3g15680,0,0,0,0,1,1,1,1,0,0,1,0
At5g67160,0,0,1,0,1,1,1,0,0,0,1,0
At5g40910,0,0,0,0,1,1,0,0,0,0,0,0
At1g18590,0,0,1,0,1,1,1,0,0,0,0,0
At4g39940,0,0,1,0,1,1,0,0,0,0,0,0
At4g22730,1,0,0,0,1,1,1,1,1,0,0,0
At2g33050,0,0,0,0,1,1,0,0,1,0,0,0
At5g12900,1,0,0,0,1,1,1,1,0,0,0,0
At2g26110,0,0,0,0,1,1,1,0,0,0,0,0
At1g80180,0,0,0,0,1,1,0,0,0,0,0,0
At1g24100,0,0,1,0,1,1,0,0,0,0,0,0
At1g28400,0,0,0,0,1,1,1,0,0,0,0,0
At2g31790,0,0,1,1,1,1,1,0,0,0,0,0
At4g19160,0,0,0,0,1,1,0,0,0,0,0,0
At1g75130,0,0,0,0,1,1,0,0,0,0,0,0
At1g30500,0,0,0,0,1,1,1,0,0,0,0,0
At2g22420,0,0,0,0,1,1,0,0,0,0,0,0
At1g64670,0,0,1,0,1,0,0,0,0,0,0,0
At5g67150,0,0,1,0,1,0,1,0,0,0,0,0
At5g35670,0,0,0,1,1,0,1,1,1,0,0,0
At1g80690,0,0,0,0,1,0,1,1,0,0,0,0
At4g26790,0,0,1,0,1,0,1,1,1,0,0,0
At1g72300,0,0,0,0,1,0,1,0,0,0,0,0
At1g78020,0,0,0,0,1,0,1,0,0,0,0,0
At3g47560,1,0,0,0,1,0,1,1,0,0,0,0
At2g41310,0,0,1,0,1,0,1,1,0,0,0,0
At4g30400,0,0,1,0,1,0,1,1,0,0,0,0
At4g37310,0,0,1,0,1,0,1,1,1,0,0,0
At1g28670,1,0,0,0,1,0,1,0,0,0,0,0
At1g70230,0,0,1,0,1,0,0,0,0,0,0,0
At1g13090,0,0,0,1,1,0,0,0,0,0,0,0
At4g04740,0,0,0,0,1,0,0,1,0,0,0,0
At1g49470,0,0,0,0,1,0,1,1,0,1,0,0
At5g18770,0,0,0,0,1,1,1,1,0,0,1,0
At1g07350,0,0,1,0,1,1,0,0,0,0,0,0
At2g38970,0,0,0,0,1,1,1,0,0,0,0,0
At3g25130,0,0,0,0,1,1,1,1,0,0,0,0
At1g14130,0,0,0,0,1,1,0,0,1,0,0,0
At5g40850,0,0,0,0,1,1,1,0,0,0,0,0
At5g57900,0,0,0,0,1,0,1,0,0,0,0,0
At3g02910,0,0,0,0,1,0,1,1,0,0,0,0
At5g41400,0,0,1,0,1,0,1,0,0,0,0,0
At3g07410,0,0,0,0,1,0,0,0,0,0,0,0
At1g25450,0,0,0,0,1,0,0,1,0,0,0,0
At3g15720,0,0,0,0,1,0,1,0,1,1,1,0
At3g02550,0,0,0,0,1,1,1,1,0,0,0,0
At1g67910,0,0,0,0,1,1,0,1,0,1,0,0
At5g03230,0,0,1,0,1,1,1,1,1,1,0,0
At3g24500,0,0,1,0,1,1,1,1,1,0,0,0
At4g37240,1,0,0,0,1,1,1,1,0,0,0,0
At3g50880,0,0,0,0,1,0,0,0,0,0,0,0
At1g35340,0,0,0,0,1,0,0,0,0,0,0,0
At4g29890,1,0,0,0,1,0,0,0,0,0,0,0
At3g52370,0,0,1,0,1,0,1,1,0,1,0,0
At5g10770,0,0,0,0,1,1,1,0,0,1,0,0
At3g22540,0,0,0,0,1,0,1,1,0,1,0,0
At4g22790,0,0,0,0,1,1,0,1,1,1,1,0
At5g19970,0,0,0,0,1,0,1,1,0,0,1,0
At4g28250,1,0,1,0,1,1,1,1,0,0,0,0
At2g36570,0,0,0,1,1,1,1,0,0,0,0,0
At2g39700,0,0,0,0,1,1,1,0,0,0,0,0
At2g22770,0,0,0,0,1,1,0,0,1,0,0,0
At1g32690,0,0,0,0,1,1,1,0,0,0,0,0
At5g18100,1,0,0,0,1,1,0,0,0,0,0,0
At1g60000,0,0,1,0,1,1,1,0,0,0,0,0
At5g05800,0,0,0,1,1,1,0,0,0,0,0,0
At3g25560,0,0,0,0,1,1,0,0,0,0,0,0
At4g24780,1,0,1,0,1,1,1,1,0,0,0,0
At5g67070,0,0,1,0,1,1,1,1,0,0,0,0
At5g20540,0,0,0,0,1,1,1,0,0,0,0,0
At4g17870,0,0,0,0,1,0,1,0,0,0,0,0
At2g44830,0,0,0,0,1,0,1,0,0,0,0,0
At2g01630,0,0,0,0,1,0,1,0,0,0,0,0
At1g17990,0,0,0,0,1,0,0,1,0,0,0,0
At3g16520,0,0,1,1,1,0,0,0,1,0,0,0
At4g32290,0,0,0,0,1,0,0,0,0,0,0,0
At1g05000,0,0,0,0,1,0,0,0,1,0,0,0
At4g33960,0,0,0,1,1,0,0,1,0,1,0,0
At2g25590,0,0,0,0,1,0,0,0,0,0,0,0
At4g34760,1,0,0,0,1,1,1,1,0,1,0,0
At2g33480,0,0,0,0,1,0,0,0,0,0,0,0
At5g07580,1,0,0,0,1,0,1,1,0,1,0,0
At3g63210,0,0,0,0,1,0,1,1,1,1,0,0
At3g45230,0,0,0,0,1,0,1,1,0,0,0,0
At2g18050,0,0,0,0,1,1,1,1,0,1,1,0
At5g18690,0,0,0,0,1,0,1,1,1,0,0,0
At5g62720,1,0,0,0,1,0,0,1,0,0,0,0
At1g78130,0,0,0,0,1,1,1,0,0,0,0,0
At3g06740,0,0,0,1,1,0,1,0,0,0,0,0
At1g70790,0,0,0,0,1,0,0,0,0,0,0,0
At4g12390,0,0,0,0,1,1,1,0,0,0,0,0
At5g14650,0,0,0,0,1,0,1,1,1,1,1,0
At4g18550,0,0,0,0,1,0,1,0,1,1,0,0
At3g27220,0,0,0,0,1,1,0,1,0,1,0,0
At5g39890,0,0,0,0,1,1,0,1,1,1,0,0
At3g23150,0,0,0,1,1,1,1,0,1,1,0,0
At1g33055,0,0,0,0,1,1,1,1,0,1,0,0
At4g20820,0,0,0,0,1,1,1,1,1,1,0,0
At1g78090,0,0,0,1,1,1,1,1,0,1,1,0
At5g47990,0,0,0,0,1,1,1,1,1,1,0,0
At3g44940,0,0,0,0,1,1,1,0,0,1,0,0
At3g45710,0,0,0,1,1,1,1,1,0,1,0,0
At1g13670,0,0,0,0,1,1,1,0,0,1,0,0
At2g28250,0,0,0,0,1,1,1,0,0,1,0,0
At4g31910,0,0,0,0,1,0,1,0,0,1,0,0
At1g48690,0,0,0,0,1,0,1,1,0,1,0,0
At1g72200,0,0,0,0,1,0,1,0,0,1,0,0
At1g55430,0,0,0,1,1,1,1,1,1,1,0,0
At2g39380,0,0,0,0,1,0,0,0,0,1,0,0
At4g35030,0,0,0,1,1,0,1,0,0,1,1,0
At1g73410,0,0,0,0,1,0,1,0,0,1,1,0
At3g10190,0,0,0,0,1,1,0,0,0,1,0,0
At5g67430,0,0,0,0,1,0,1,1,0,1,0,0
At1g13830,0,0,0,0,1,0,1,0,0,1,0,0
At5g10030,0,0,0,0,1,1,0,0,0,1,0,0
At2g01610,0,0,0,0,1,1,1,0,1,1,0,0
At5g48010,0,0,0,1,1,1,1,1,1,1,0,0
At3g26330,0,0,0,1,1,0,1,0,0,1,0,0
At2g18800,0,0,0,0,1,1,1,1,1,1,1,0
At1g16070,0,0,0,0,1,0,1,1,0,0,1,0
At2g19570,0,0,0,0,1,0,1,1,0,0,1,0
At1g51640,0,0,0,0,1,1,1,0,0,0,1,0
At2g25000,0,0,0,0,1,1,1,1,1,0,1,0
At1g55265,0,0,0,0,1,1,1,1,0,0,1,0
At2g44380,0,0,0,1,1,0,1,1,1,0,1,0
At3g56230,0,0,0,0,1,0,1,1,0,0,1,0
At5g53830,0,0,0,0,1,1,1,1,0,0,0,0
At3g16490,0,0,0,1,1,1,1,0,0,0,0,0
At5g15890,0,0,0,0,1,1,1,0,0,0,0,0
At1g03240,0,0,0,0,1,1,1,0,0,0,0,0
At4g32890,0,0,0,0,1,1,1,1,0,0,0,0
At4g31530,0,0,0,0,1,1,0,0,0,0,0,0
At4g19980,0,0,0,1,1,1,1,1,0,0,0,0
At4g14980,0,0,0,0,1,1,1,0,0,0,0,0
At1g66440,0,0,0,0,1,1,1,0,0,0,0,0
At5g66985,0,0,0,0,1,1,1,1,0,0,0,0
At1g22550,0,0,0,0,1,1,1,1,0,0,0,0
At4g01740,0,0,0,0,1,1,1,0,0,0,0,0
At5g15120,0,0,0,1,1,1,0,1,0,0,0,0
At1g33260,0,0,1,0,1,1,1,1,0,0,0,0
At1g29180,0,0,0,1,1,1,1,0,0,0,0,0
At1g10230,0,0,0,0,1,1,0,0,0,0,0,0
At1g52880,0,0,1,0,1,1,1,0,0,0,0,0
At5g06280,0,0,1,0,1,1,0,0,0,0,0,0
At5g48000,0,0,0,0,1,1,1,0,0,0,0,0
At5g25450,0,0,0,0,1,1,1,1,1,0,0,0
At4g14130,0,0,0,0,1,1,1,1,0,0,0,0
At5g65640,0,0,0,0,1,1,0,0,0,0,0,0
At1g06760,0,0,0,0,1,1,0,0,0,0,0,0
At4g35990,0,0,0,0,1,1,1,0,0,0,0,0
At3g20015,0,0,0,0,1,1,1,0,0,0,0,0
At2g14920,0,0,0,1,1,1,1,0,0,0,0,0
At1g48510,0,0,0,0,1,1,1,0,0,0,0,0
At5g27100,0,0,0,0,1,1,1,1,0,0,0,0
At1g31770,0,0,0,0,1,1,1,0,1,0,0,0
At5g58500,0,0,0,0,1,1,1,0,0,0,0,0
At3g25820,0,0,0,0,1,1,0,0,0,0,0,0
At3g13226,0,0,1,0,1,0,0,0,0,0,0,0
At1g77930,0,0,1,0,1,0,0,0,0,0,0,0
At2g03830,0,0,0,0,1,0,1,0,0,0,0,0
At4g13710,0,0,0,1,1,0,1,0,0,0,0,0
At1g33750,0,0,0,0,1,0,1,0,0,0,0,0
At2g20480,0,0,0,1,1,0,1,0,0,0,0,0
At4g16350,0,0,0,1,1,0,1,0,0,0,0,0
At4g22250,0,0,0,0,1,0,1,0,0,0,0,0
At4g14870,1,0,0,0,1,0,1,0,0,0,0,0
At3g02875,0,0,0,0,1,0,1,0,0,0,0,0
At3g13760,0,0,0,0,1,0,1,0,0,0,0,0
At3g32040,0,0,0,0,1,0,1,0,0,0,0,0
At1g70990,0,0,0,0,1,0,1,0,0,0,0,0
At2g29660,0,0,0,0,1,0,1,0,0,0,0,0
At2g01580,0,0,0,0,1,0,1,0,0,0,0,0
At1g80310,0,0,0,1,1,0,1,0,0,0,0,0
At2g21020,0,0,0,0,1,0,1,0,0,0,0,0
At1g17590,0,0,0,0,1,0,1,0,0,0,0,0
At5g18780,0,0,0,0,1,0,1,1,0,0,0,0
At2g26650,0,0,0,0,1,0,1,1,0,0,0,0
At3g09490,0,0,0,0,1,0,1,1,0,0,0,0
At4g37750,0,0,0,0,1,0,1,0,0,0,0,0
At4g31320,0,0,0,0,1,0,1,0,0,0,0,0
At5g02420,0,0,0,0,1,0,1,0,0,0,0,0
At5g62480,0,0,0,0,1,0,1,1,0,0,0,0
At5g66440,0,0,0,0,1,0,0,0,0,0,0,0
At3g02980,0,0,0,0,1,0,0,0,0,0,0,0
At5g48110,0,0,0,0,1,0,0,0,0,0,0,0
At4g33130,0,0,0,0,1,0,0,0,0,0,0,0
At3g51090,0,0,0,0,1,0,0,0,0,0,0,0
At5g10210,0,0,0,1,1,0,0,1,0,0,0,0
At4g15380,0,0,0,0,1,0,0,0,0,0,0,0
At5g55790,0,0,0,0,1,0,0,0,0,0,0,0
At1g35330,0,0,0,0,1,0,0,0,0,0,0,0
At1g80290,0,0,0,0,1,0,0,0,0,0,0,0
At1g61590,0,0,0,0,1,0,0,0,0,0,0,0
At5g55170,0,0,0,0,1,0,0,1,0,0,0,0
At5g05160,0,0,0,0,1,0,0,1,0,0,0,0
At1g03310,0,0,1,1,1,0,0,1,0,0,0,0
At3g58620,1,0,0,0,1,0,0,1,1,0,0,0
At5g52110,0,0,0,1,1,0,0,0,0,0,0,0
At5g47635,0,0,0,1,1,0,0,0,0,0,0,0
At4g15480,0,0,0,0,1,0,1,1,0,0,0,0
At1g70470,0,0,0,0,1,1,1,1,0,0,0,0
At5g52120,0,0,0,0,1,0,1,1,1,0,0,0
At1g71970,0,0,0,1,1,0,0,0,0,0,0,0
At5g45800,0,0,1,0,1,0,0,0,0,0,0,0
At1g71696,0,0,0,1,1,0,0,0,0,0,0,0
At4g23810,0,0,0,1,1,1,1,1,0,1,1,0
At2g32100,0,0,0,1,1,0,1,1,1,0,0,0
At1g65060,0,0,1,0,1,1,1,1,1,0,1,0
At3g46130,0,0,0,0,1,0,1,1,1,1,0,0
At5g05250,0,0,0,0,1,1,1,1,0,1,0,0
At2g35470,0,0,0,0,1,0,0,1,0,0,0,0
At3g30180,0,0,0,0,1,0,0,1,0,0,0,0
At5g05860,0,0,0,0,1,1,1,0,0,0,0,0
At3g58190,0,0,0,0,1,1,1,1,1,1,0,0
At3g63110,0,0,0,0,1,1,1,1,1,1,0,0
At1g50060,0,0,0,0,1,1,1,1,1,1,1,0
At4g25250,0,0,0,0,1,1,1,1,1,1,1,0
At4g23493,0,0,0,0,1,1,1,0,0,1,0,0
At3g20110,0,0,0,1,1,1,1,1,0,1,0,0
At5g52390,0,0,0,1,1,1,1,1,1,1,1,0
At4g31730,0,0,0,0,1,0,1,0,0,1,0,0
At3g61400,0,0,0,0,1,1,1,0,1,1,1,0
At1g79310,0,0,0,1,1,0,1,0,1,1,1,0
At3g27400,0,0,0,0,1,1,1,0,1,1,0,0
At2g16580,0,0,0,0,1,1,1,0,0,0,1,0
At1g34670,0,0,0,0,1,1,0,0,0,0,1,0
At1g78815,0,0,0,0,1,0,0,0,0,0,1,0
At5g07680,0,0,0,0,1,0,1,0,0,0,1,0
At2g43390,0,0,0,0,1,0,1,0,0,0,1,0
At3g02885,0,0,0,0,1,1,1,1,1,0,0,0
At1g78120,0,0,0,0,1,1,1,0,0,0,0,0
At1g10470,0,0,1,0,1,1,1,0,0,0,0,0
At3g13730,0,0,0,1,1,1,1,0,0,0,0,0
At3g57950,0,0,0,0,1,1,1,1,0,0,0,0
At2g25090,0,0,0,0,1,1,1,0,0,0,0,0
At2g28710,0,0,0,0,1,1,0,0,0,0,0,0
At5g58150,0,0,0,0,1,1,1,1,0,0,0,0
At5g48880,0,0,1,0,1,1,0,1,0,0,0,0
At1g16220,0,0,0,0,1,1,1,0,0,0,0,0
At1g14080,0,0,0,0,1,1,1,0,0,0,0,0
At1g25530,0,0,0,0,1,1,1,0,0,0,0,0
At2g17060,0,0,0,0,1,1,0,0,0,0,0,0
At3g13980,0,0,0,0,1,1,0,1,0,0,0,0
At3g13840,0,0,0,0,1,1,1,0,0,0,0,0
At3g63090,0,0,0,0,1,1,1,1,0,0,0,0
At3g16870,0,0,0,0,1,0,1,0,0,0,0,0
At5g44780,0,0,0,0,1,0,1,1,0,0,0,0
At5g47740,0,0,0,0,1,0,1,1,0,0,0,0
At3g21680,0,0,0,0,1,0,1,0,0,0,0,0
At5g54660,0,0,0,0,1,0,1,0,0,0,0,0
At2g39440,0,0,1,0,1,0,1,0,0,0,0,0
At3g06990,0,0,0,1,1,0,1,0,0,0,0,0
At5g67450,0,0,0,0,1,0,1,1,0,0,0,0
At5g01210,0,0,0,0,1,0,1,1,0,0,0,0
At2g47860,0,0,0,0,1,0,1,1,0,0,0,0
At4g15340,0,0,0,0,1,0,1,0,1,0,0,0
At2g34500,0,0,0,0,1,0,1,1,0,0,0,0
At1g55240,0,0,0,1,1,0,1,1,0,0,0,0
At3g10910,0,0,0,0,1,0,1,0,0,0,0,0
At5g23400,0,0,0,0,1,0,1,0,0,0,0,0
At3g23800,0,0,0,0,1,0,1,0,1,0,0,0
At3g62090,0,0,0,0,1,0,1,0,0,0,0,0
At4g37970,0,0,0,0,1,0,1,1,0,0,0,0
At2g36890,0,0,0,0,1,0,0,0,0,0,0,0
At1g44160,0,0,0,0,1,0,0,0,0,0,0,0
At1g08990,0,0,0,0,1,0,0,0,0,0,0,0
At4g29340,0,0,0,0,1,0,0,0,0,0,0,0
At3g25410,0,0,1,0,1,0,0,1,0,0,0,0
At5g47100,0,0,0,1,1,0,0,0,0,0,0,0
At1g49350,0,0,0,1,1,0,0,0,0,0,0,0
At1g64450,0,0,0,1,1,0,0,0,0,0,0,0
At1g13300,0,0,0,1,1,0,0,0,0,0,0,0
At3g25400,0,0,0,1,1,0,0,0,1,0,0,0
At4g16960,0,0,0,0,1,0,0,0,0,0,0,0
At5g45070,0,0,0,0,1,0,0,0,0,0,0,0
At3g57130,0,0,0,0,1,0,0,0,0,0,0,0
At4g11300,0,0,0,0,1,0,0,0,0,0,0,0
At2g40530,0,0,0,0,1,0,0,0,0,0,0,0
At1g53340,0,0,0,0,1,0,0,0,0,0,0,0
At1g01200,0,0,0,0,1,0,0,0,0,0,0,0
At4g08950,0,0,0,1,1,1,1,1,0,1,0,0
At1g68050,0,0,0,0,1,0,0,0,0,0,0,0
At2g30990,0,0,0,0,1,0,0,0,0,0,0,0
At5g64260,0,0,0,0,1,0,1,0,1,1,0,0
At3g01210,0,0,1,0,1,1,0,0,0,0,0,0
At1g67310,0,0,0,0,1,0,1,0,0,0,0,0
At2g45660,0,0,0,0,1,0,1,0,0,0,0,0
At3g05650,0,0,0,0,1,0,1,1,1,0,0,0
At1g22770,0,0,0,1,1,0,0,1,0,0,0,0
At3g58790,0,0,0,0,1,0,0,0,1,0,0,0
At5g02810,0,0,0,0,1,1,1,0,1,0,0,0
At1g06040,0,0,1,0,1,0,0,0,0,0,0,0
At5g67030,0,0,1,0,1,0,1,0,0,0,0,0
At3g15450,0,0,0,0,1,1,0,1,1,0,0,0
At4g36040,0,0,0,0,1,1,1,1,0,0,0,0
At2g20670,0,0,0,0,1,1,1,1,1,1,0,0
At2g27830,0,0,0,0,1,1,1,1,1,1,1,0
At5g60680,0,0,0,0,1,1,1,1,0,0,0,0
At2g15880,0,0,0,1,1,1,1,0,1,1,1,0
At4g03510,0,0,0,0,1,1,1,1,1,0,0,0
At3g11930,0,0,0,0,1,1,1,1,1,1,0,0
At2g39510,0,0,0,0,1,1,1,1,1,1,1,0
At1g62280,0,0,0,0,1,1,1,1,1,1,1,0
At1g61520,0,0,0,0,1,0,1,0,0,0,0,0
At2g34430,0,0,0,0,1,0,1,0,1,0,0,0
At2g26410,0,0,0,0,1,0,0,0,0,0,0,0
At4g16890,0,0,0,0,1,0,0,0,0,0,0,0
At5g56340,0,0,0,0,1,0,0,0,0,0,0,0
At5g48410,0,0,0,0,1,0,0,0,0,0,0,0
At3g59440,0,0,0,0,1,0,0,0,0,0,0,0
At4g40080,0,0,0,0,1,0,0,0,0,0,0,0
At3g08700,0,0,0,0,1,0,0,0,0,0,0,0
At2g20680,0,0,0,0,1,0,0,0,0,0,0,0
At2g22800,0,0,0,0,1,0,0,0,0,0,0,0
At2g26290,0,0,0,0,1,0,0,0,0,0,0,0
