family	At IDs	related_spartina_contigs
glycosyltransferase gene family	AT4G07960	"S_5sp_contig44753; S_alt_contig00176_RC"
alpha/beta-Hydrolases superfamily protein	AT1G52700	S_alt_contig02879
cytochrome P450 family	AT3G14690	S_alt_contig03134
glycosyltransferase gene family	AT1G05170	S_alt_contig03657
cytochrome P450 family	AT2G46950	S_alt_contig00449_RC
glycosyltransferase gene family	AT4G21060	S_alt_contig02701
cytochrome P450 family	AT5G42650	S_5sp_contig50797
ABC transporter family	AT2G37280	S_5sp_contig48989
ABC transporter family	AT2G07680	S_5sp_contig39015_RC
alpha/beta-Hydrolases superfamily protein	AT2G42450	"S_5sp_contig31368; S_5sp_contig31369"
alpha/beta-Hydrolases superfamily protein	AT4G34310	"S_5sp_contig39075_RC; S_5sp_contig43333; S_5sp_contig43816"
glycosyltransferase gene family	AT4G00550	"S_alt_contig08332; S_mar_contig06424; S_mar_contig07212; S_5sp_contig42069_RC; S_5sp_contig42223"
alpha/beta-Hydrolases superfamily protein	AT2G32520	S_5sp_contig31194
glycosyltransferase gene family	AT1G19710	S_5sp_contig25906
glutathione S-transferase gene family	AT1G78380	"S_alt_contig12744; S_alt_contig12745"
glutathione S-transferase gene family	AT3G62760	S_alt_contig15107
glycosyltransferase gene family	AT2G43820	S_5sp_contig34075
alpha/beta-Hydrolases superfamily protein	AT5G20520	"S_5sp_contig13101; S_5sp_contig13102"
alpha/beta-Hydrolases superfamily protein	AT3G49050	S_alt_contig03100_RC
glycosyltransferase gene family	AT3G11540	"S_alt_contig06590_RC; S_alt_contig03387_RC"
glutathione S-transferase gene family	AT1G59700	S_alt_contig08302_RC
glycosyltransferase gene family	AT1G32900	"S_alt_contig05998; S_5sp_contig11372_RC"
ABC transporter family	AT5G60740	"S_5sp_contig21819; S_alt_contig11362_RC; S_alt_contig11363; S_5sp_contig42071"
alpha/beta-Hydrolases superfamily protein	AT4G12830	S_5sp_contig40383
glycosyltransferase gene family	AT3G43190	"S_5sp_contig05674_RC; S_alt_contig08328_RC; S_alt_contig13419; S_alt_contig13565"
glycosyltransferase gene family	AT1G71990	"S_5sp_contig15216_RC; S_5sp_contig15217_RC; S_5sp_contig15219_RC"
cytochrome P450 family	AT1G13080	S_alt_contig03608_RC
ABC transporter family	AT4G39850	"S_alt_contig05499_RC; S_alt_contig08404; S_alt_contig00528; S_alt_contig01880; S_alt_contig02680_RC"
glycosyltransferase gene family	AT3G15350	S_5sp_contig41218
ABC transporter family	AT3G62700	"S_5sp_contig21044; S_5sp_contig21045"
glycosyltransferase gene family	AT4G03550	"S_alt_contig06602_RC; S_alt_contig10344_RC; S_alt_contig00780_RC"
ABC transporter family	AT3G55090	"S_5sp_contig48167; S_5sp_contig48426"
glycosyltransferase gene family	AT3G27540	"S_alt_contig11842; S_alt_contig11843; S_alt_contig03136"
glycosyltransferase gene family	AT5G07720	S_alt_contig01017
ABC transporter family	AT2G01320	S_5sp_contig39884_RC
glutathione S-transferase gene family	AT5G41210	"S_alt_contig06551_RC; S_alt_contig00498_RC"
ABC transporter family	AT2G34660	"S_alt_contig09067_RC; S_5sp_contig11505; S_alt_contig01990_RC"
alpha/beta-Hydrolases superfamily protein	AT4G31020	S_5sp_contig43033
alpha/beta-Hydrolases superfamily protein	AT5G50890	S_5sp_contig46828
cytochrome P450 family	AT3G14620	S_alt_contig15712
cytochrome P450 family	AT1G31800	"S_alt_contig06290_RC; S_alt_contig14366_RC; S_alt_contig14369_RC"
glycosyltransferase gene family	AT2G38650	"S_5sp_contig24598_RC; S_5sp_contig24599_RC; S_5sp_contig33894_RC; S_5sp_contig33895_RC; S_5sp_contig40969_RC; S_5sp_contig41349; S_5sp_contig45332_RC"
ABC transporter family	AT1G15520	"S_alt_contig04230; S_alt_contig05489; S_alt_contig10585; S_5sp_contig44832_RC; S_alt_contig01166_RC; S_alt_contig02455; S_alt_contig02801; S_alt_contig02977"
glycosyltransferase gene family	AT1G08660	S_5sp_contig40646
glycosyltransferase gene family	AT1G06490	S_5sp_contig42052
glycosyltransferase gene family	AT3G29320	S_alt_contig03028
glycosyltransferase gene family	AT2G32530	S_5sp_contig42560
ABC transporter family	AT1G32500	S_alt_contig03280_RC
ABC transporter family	AT2G47800	"S_alt_contig11215; S_5sp_contig21048"
alpha/beta-Hydrolases superfamily protein	AT3G11620	S_5sp_contig20269
ABC transporter family	AT2G47000	"S_5sp_contig22422_RC; S_5sp_contig39419_RC"
glycosyltransferase gene family	AT4G18780	S_5sp_contig45450
alpha/beta-Hydrolases superfamily protein	AT3G23540	"S_alt_contig08881; S_alt_contig14156; S_alt_contig15427; S_alt_contig03216"
cytochrome P450 family	AT1G11680	S_5sp_contig42944
glycosyltransferase gene family	AT3G01040	S_alt_contig10286
glycosyltransferase gene family	AT4G38270	"S_mar_contig00253_RC; S_5sp_contig31453"
glycosyltransferase gene family	AT2G36850	"S_alt_contig06297; S_alt_contig00397_RC"
cytochrome P450 family	AT3G26280	S_5sp_contig43477
cytochrome P450 family	AT2G46960	S_alt_contig03495_RC
cytochrome P450 family	AT5G23190	"S_5sp_contig47284; S_5sp_contig50190"
glycosyltransferase gene family	AT4G16600	S_alt_contig11793
glycosyltransferase gene family	AT3G16520	"S_5sp_contig23334; S_5sp_contig23335; S_5sp_contig23338; S_5sp_contig36729; S_5sp_contig46846"
alpha/beta-Hydrolases superfamily protein	AT4G24160	S_alt_contig03113
cytochrome P450 family	AT5G05690	S_5sp_contig26718
glycosyltransferase gene family	AT2G37730	S_alt_contig03652
ABC transporter family	AT3G59140	"S_alt_contig09582_RC; S_alt_contig00588; S_alt_contig03230_RC"
alpha/beta-Hydrolases superfamily protein	AT4G24760	S_alt_contig03063
glycosyltransferase gene family	AT1G04920	"S_alt_contig13350; S_alt_contig16473"
alpha/beta-Hydrolases superfamily protein	AT4G37470	S_alt_contig12469
glycosyltransferase gene family	AT3G07020	S_5sp_contig25174
glycosyltransferase gene family	AT1G49710	S_alt_contig06992
glycosyltransferase gene family	AT3G04240	"S_alt_contig09475; S_alt_contig09476"
cytochrome P450 family	AT1G19630	S_5sp_contig46816
glycosyltransferase gene family	AT5G01220	"S_alt_contig04014_RC; S_5sp_contig25578"
ABC transporter family	AT1G03900	S_alt_contig10714
glycosyltransferase gene family	AT5G03760	"S_5sp_contig26226; S_5sp_contig38853"
glycosyltransferase gene family	AT1G06410	"S_alt_contig07821; S_mar_contig05281; S_5sp_contig39596; S_alt_contig00704"
ABC transporter family	AT1G03905	S_alt_contig03692_RC
alpha/beta-Hydrolases superfamily protein	AT2G36290	S_5sp_contig47978
glycosyltransferase gene family	AT4G02280	S_alt_contig00886
ABC transporter family	AT5G58270	S_alt_contig10137
ABC transporter family	AT3G62150	S_alt_contig07187
ABC transporter family	AT3G16340	S_alt_contig01689_RC
glycosyltransferase gene family	AT3G62720	S_alt_contig12882
alpha/beta-Hydrolases superfamily protein	AT1G52510	S_5sp_contig42769
glycosyltransferase gene family	AT3G11670	"S_5sp_contig40296_RC; S_alt_contig01197; S_5sp_contig19685; S_5sp_contig19688"
cytochrome P450 family	AT5G25900	S_5sp_contig47295
ABC transporter family	AT3G54540	S_alt_contig10813
glycosyltransferase gene family	AT5G53340	S_alt_contig04532_RC
alpha/beta-Hydrolases superfamily protein	AT3G27320	S_alt_contig13074
ABC transporter family	AT1G70610	S_alt_contig12917
alpha/beta-Hydrolases superfamily protein	AT4G17150	S_alt_contig08990_RC
cytochrome P450 family	AT5G25140	S_5sp_contig43194
glutathione S-transferase gene family	AT3G03190	S_5sp_contig41609
ABC transporter family	AT4G19210	S_alt_contig02671
glycosyltransferase gene family	AT5G20280	"S_5sp_contig27660; S_5sp_contig27661; S_5sp_contig39604"
glycosyltransferase gene family	AT2G35710	S_5sp_contig40044
glycosyltransferase gene family	AT3G14570	"S_alt_contig06565; S_alt_contig12738"
glycosyltransferase gene family	AT5G13000	"S_alt_contig04958; S_alt_contig06047; S_alt_contig06108; S_alt_contig12446; S_alt_contig01729; S_alt_contig02631; S_alt_contig03709"
alpha/beta-Hydrolases superfamily protein	AT1G73920	S_alt_contig01053
alpha/beta-Hydrolases superfamily protein	AT1G73480	"S_5sp_contig31383; S_5sp_contig31384; S_5sp_contig31385"
ABC transporter family	AT2G28070	S_5sp_contig38711
cytochrome P450 family	AT3G26230	S_5sp_contig45175
